Year,UNIT_MEASURE,Administrativna jedinica,type_of_school,Spol,Value
2019,Broj,Posavska županija,Gimnazija,M,
2019,Broj,Posavska županija,technical_high_schools,M,
2019,Broj,Posavska županija,vocational_high_schools,M,
2019,Broj,Posavska županija,Umjetničke škole,M,
2019,Broj,Posavska županija,religious_schools,M,
2019,Broj,Posavska županija,high_schools_for_students_with_disabilities,M,
2020,Broj,Posavska županija,Gimnazija,M,
2020,Broj,Posavska županija,technical_high_schools,M,
2020,Broj,Posavska županija,vocational_high_schools,M,
2020,Broj,Posavska županija,Umjetničke škole,M,
2020,Broj,Posavska županija,religious_schools,M,
2020,Broj,Posavska županija,high_schools_for_students_with_disabilities,M,
2016,Broj,Tuzlanska županija,Gimnazija,M,
2016,Broj,Tuzlanska županija,technical_high_schools,M,
2016,Broj,Tuzlanska županija,vocational_high_schools,M,
2016,Broj,Tuzlanska županija,Umjetničke škole,M,
2016,Broj,Tuzlanska županija,religious_schools,M,
2016,Broj,Tuzlanska županija,high_schools_for_students_with_disabilities,M,
2017,Broj,Tuzlanska županija,Gimnazija,M,
2017,Broj,Tuzlanska županija,technical_high_schools,M,
2017,Broj,Tuzlanska županija,vocational_high_schools,M,
2017,Broj,Tuzlanska županija,Umjetničke škole,M,
2017,Broj,Tuzlanska županija,religious_schools,M,
2017,Broj,Tuzlanska županija,high_schools_for_students_with_disabilities,M,
2018,Broj,Tuzlanska županija,Gimnazija,M,
2018,Broj,Tuzlanska županija,technical_high_schools,M,
2018,Broj,Tuzlanska županija,vocational_high_schools,M,
2018,Broj,Tuzlanska županija,Umjetničke škole,M,
2018,Broj,Tuzlanska županija,religious_schools,M,
2018,Broj,Tuzlanska županija,high_schools_for_students_with_disabilities,M,
2019,Broj,Tuzlanska županija,Gimnazija,M,
2019,Broj,Tuzlanska županija,technical_high_schools,M,
2019,Broj,Tuzlanska županija,vocational_high_schools,M,
2019,Broj,Tuzlanska županija,Umjetničke škole,M,
2019,Broj,Tuzlanska županija,religious_schools,M,
2019,Broj,Tuzlanska županija,high_schools_for_students_with_disabilities,M,
2020,Broj,Tuzlanska županija,Gimnazija,M,
2020,Broj,Tuzlanska županija,technical_high_schools,M,
2020,Broj,Tuzlanska županija,vocational_high_schools,M,
2020,Broj,Tuzlanska županija,Umjetničke škole,M,
2020,Broj,Tuzlanska županija,religious_schools,M,
2020,Broj,Tuzlanska županija,high_schools_for_students_with_disabilities,M,
2016,Broj,Zeničko-dobojska županija,Gimnazija,M,
2016,Broj,Zeničko-dobojska županija,technical_high_schools,M,
2016,Broj,Zeničko-dobojska županija,vocational_high_schools,M,
2016,Broj,Zeničko-dobojska županija,Umjetničke škole,M,
2016,Broj,Zeničko-dobojska županija,religious_schools,M,
2016,Broj,Zeničko-dobojska županija,high_schools_for_students_with_disabilities,M,
2017,Broj,Zeničko-dobojska županija,Gimnazija,M,
2017,Broj,Zeničko-dobojska županija,technical_high_schools,M,
2017,Broj,Zeničko-dobojska županija,vocational_high_schools,M,
2017,Broj,Zeničko-dobojska županija,Umjetničke škole,M,
2017,Broj,Zeničko-dobojska županija,religious_schools,M,
2017,Broj,Zeničko-dobojska županija,high_schools_for_students_with_disabilities,M,
2018,Broj,Zeničko-dobojska županija,Gimnazija,M,
2018,Broj,Zeničko-dobojska županija,technical_high_schools,M,
2018,Broj,Zeničko-dobojska županija,vocational_high_schools,M,
2018,Broj,Zeničko-dobojska županija,Umjetničke škole,M,
2018,Broj,Zeničko-dobojska županija,religious_schools,M,
2018,Broj,Zeničko-dobojska županija,high_schools_for_students_with_disabilities,M,
2019,Broj,Zeničko-dobojska županija,Gimnazija,M,
2019,Broj,Zeničko-dobojska županija,technical_high_schools,M,
2019,Broj,Zeničko-dobojska županija,vocational_high_schools,M,
2019,Broj,Zeničko-dobojska županija,Umjetničke škole,M,
2019,Broj,Zeničko-dobojska županija,religious_schools,M,
2019,Broj,Zeničko-dobojska županija,high_schools_for_students_with_disabilities,M,
2020,Broj,Zeničko-dobojska županija,Gimnazija,M,
2020,Broj,Zeničko-dobojska županija,technical_high_schools,M,
2020,Broj,Zeničko-dobojska županija,vocational_high_schools,M,
2020,Broj,Zeničko-dobojska županija,Umjetničke škole,M,
2020,Broj,Zeničko-dobojska županija,religious_schools,M,
2020,Broj,Zeničko-dobojska županija,high_schools_for_students_with_disabilities,M,
2016,Broj,Bosansko-podrinjska županija,Gimnazija,M,
2016,Broj,Bosansko-podrinjska županija,technical_high_schools,M,
2016,Broj,Bosansko-podrinjska županija,vocational_high_schools,M,
2016,Broj,Bosansko-podrinjska županija,Umjetničke škole,M,
2016,Broj,Bosansko-podrinjska županija,religious_schools,M,
2016,Broj,Bosansko-podrinjska županija,high_schools_for_students_with_disabilities,M,
2017,Broj,Bosansko-podrinjska županija,Gimnazija,M,
2017,Broj,Bosansko-podrinjska županija,technical_high_schools,M,
2017,Broj,Bosansko-podrinjska županija,vocational_high_schools,M,
2017,Broj,Bosansko-podrinjska županija,Umjetničke škole,M,
2017,Broj,Bosansko-podrinjska županija,religious_schools,M,
2017,Broj,Bosansko-podrinjska županija,high_schools_for_students_with_disabilities,M,
2018,Broj,Bosansko-podrinjska županija,Gimnazija,M,
2018,Broj,Bosansko-podrinjska županija,technical_high_schools,M,
2018,Broj,Bosansko-podrinjska županija,vocational_high_schools,M,
2018,Broj,Bosansko-podrinjska županija,Umjetničke škole,M,
2018,Broj,Bosansko-podrinjska županija,religious_schools,M,
2018,Broj,Bosansko-podrinjska županija,high_schools_for_students_with_disabilities,M,
2019,Broj,Bosansko-podrinjska županija,Gimnazija,M,
2019,Broj,Bosansko-podrinjska županija,technical_high_schools,M,
2019,Broj,Bosansko-podrinjska županija,vocational_high_schools,M,
2019,Broj,Bosansko-podrinjska županija,Umjetničke škole,M,
2019,Broj,Bosansko-podrinjska županija,religious_schools,M,
2019,Broj,Bosansko-podrinjska županija,high_schools_for_students_with_disabilities,M,
2020,Broj,Bosansko-podrinjska županija,Gimnazija,M,
2020,Broj,Bosansko-podrinjska županija,technical_high_schools,M,
2020,Broj,Bosansko-podrinjska županija,vocational_high_schools,M,
2020,Broj,Bosansko-podrinjska županija,Umjetničke škole,M,
2020,Broj,Bosansko-podrinjska županija,religious_schools,M,
2020,Broj,Bosansko-podrinjska županija,high_schools_for_students_with_disabilities,M,
2016,Broj,Srednjobosanska županija,Gimnazija,M,
2016,Broj,Srednjobosanska županija,technical_high_schools,M,
2016,Broj,Srednjobosanska županija,vocational_high_schools,M,
2016,Broj,Srednjobosanska županija,Umjetničke škole,M,
2016,Broj,Srednjobosanska županija,religious_schools,M,
2016,Broj,Srednjobosanska županija,high_schools_for_students_with_disabilities,M,
2017,Broj,Srednjobosanska županija,Gimnazija,M,
2017,Broj,Srednjobosanska županija,technical_high_schools,M,
2017,Broj,Srednjobosanska županija,vocational_high_schools,M,
2017,Broj,Srednjobosanska županija,Umjetničke škole,M,
2017,Broj,Srednjobosanska županija,religious_schools,M,
2017,Broj,Srednjobosanska županija,high_schools_for_students_with_disabilities,M,
2018,Broj,Srednjobosanska županija,Gimnazija,M,
2018,Broj,Srednjobosanska županija,technical_high_schools,M,
2018,Broj,Srednjobosanska županija,vocational_high_schools,M,
2018,Broj,Srednjobosanska županija,Umjetničke škole,M,
2018,Broj,Srednjobosanska županija,religious_schools,M,
2018,Broj,Srednjobosanska županija,high_schools_for_students_with_disabilities,M,
2019,Broj,Srednjobosanska županija,Gimnazija,M,
2019,Broj,Srednjobosanska županija,technical_high_schools,M,
2019,Broj,Srednjobosanska županija,vocational_high_schools,M,
2019,Broj,Srednjobosanska županija,Umjetničke škole,M,
2019,Broj,Srednjobosanska županija,religious_schools,M,
2019,Broj,Srednjobosanska županija,high_schools_for_students_with_disabilities,M,
2020,Broj,Srednjobosanska županija,Gimnazija,M,
2020,Broj,Srednjobosanska županija,technical_high_schools,M,
2020,Broj,Srednjobosanska županija,vocational_high_schools,M,
2020,Broj,Srednjobosanska županija,Umjetničke škole,M,
2020,Broj,Srednjobosanska županija,religious_schools,M,
2020,Broj,Srednjobosanska županija,high_schools_for_students_with_disabilities,M,
2016,Broj,Hercegovačko-neretvanska županija,Gimnazija,M,
2016,Broj,Hercegovačko-neretvanska županija,technical_high_schools,M,
2016,Broj,Hercegovačko-neretvanska županija,vocational_high_schools,M,
2016,Broj,Hercegovačko-neretvanska županija,Umjetničke škole,M,
2016,Broj,Hercegovačko-neretvanska županija,religious_schools,M,
2016,Broj,Hercegovačko-neretvanska županija,high_schools_for_students_with_disabilities,M,
2017,Broj,Hercegovačko-neretvanska županija,Gimnazija,M,
2017,Broj,Hercegovačko-neretvanska županija,technical_high_schools,M,
2017,Broj,Hercegovačko-neretvanska županija,vocational_high_schools,M,
2017,Broj,Hercegovačko-neretvanska županija,Umjetničke škole,M,
2017,Broj,Hercegovačko-neretvanska županija,religious_schools,M,
2017,Broj,Hercegovačko-neretvanska županija,high_schools_for_students_with_disabilities,M,
2018,Broj,Hercegovačko-neretvanska županija,Gimnazija,M,
2018,Broj,Hercegovačko-neretvanska županija,technical_high_schools,M,
2018,Broj,Hercegovačko-neretvanska županija,vocational_high_schools,M,
2018,Broj,Hercegovačko-neretvanska županija,Umjetničke škole,M,
2018,Broj,Hercegovačko-neretvanska županija,religious_schools,M,
2018,Broj,Hercegovačko-neretvanska županija,high_schools_for_students_with_disabilities,M,
2019,Broj,Hercegovačko-neretvanska županija,Gimnazija,M,
2019,Broj,Hercegovačko-neretvanska županija,technical_high_schools,M,
2019,Broj,Hercegovačko-neretvanska županija,vocational_high_schools,M,
2019,Broj,Hercegovačko-neretvanska županija,Umjetničke škole,M,
2019,Broj,Hercegovačko-neretvanska županija,religious_schools,M,
2019,Broj,Hercegovačko-neretvanska županija,high_schools_for_students_with_disabilities,M,
2020,Broj,Hercegovačko-neretvanska županija,Gimnazija,M,
2020,Broj,Hercegovačko-neretvanska županija,technical_high_schools,M,
2020,Broj,Hercegovačko-neretvanska županija,vocational_high_schools,M,
2020,Broj,Hercegovačko-neretvanska županija,Umjetničke škole,M,
2020,Broj,Hercegovačko-neretvanska županija,religious_schools,M,
2020,Broj,Hercegovačko-neretvanska županija,high_schools_for_students_with_disabilities,M,
2016,Broj,Zapadno-hercegovačka županija,Gimnazija,M,
2016,Broj,Zapadno-hercegovačka županija,technical_high_schools,M,
2016,Broj,Zapadno-hercegovačka županija,vocational_high_schools,M,
2016,Broj,Zapadno-hercegovačka županija,Umjetničke škole,M,
2016,Broj,Zapadno-hercegovačka županija,religious_schools,M,
2016,Broj,Zapadno-hercegovačka županija,high_schools_for_students_with_disabilities,M,
2017,Broj,Zapadno-hercegovačka županija,Gimnazija,M,
2017,Broj,Zapadno-hercegovačka županija,technical_high_schools,M,
2017,Broj,Zapadno-hercegovačka županija,vocational_high_schools,M,
2017,Broj,Zapadno-hercegovačka županija,Umjetničke škole,M,
2017,Broj,Zapadno-hercegovačka županija,religious_schools,M,
2017,Broj,Zapadno-hercegovačka županija,high_schools_for_students_with_disabilities,M,
2018,Broj,Zapadno-hercegovačka županija,Gimnazija,M,
2018,Broj,Zapadno-hercegovačka županija,technical_high_schools,M,
2018,Broj,Zapadno-hercegovačka županija,vocational_high_schools,M,
2018,Broj,Zapadno-hercegovačka županija,Umjetničke škole,M,
2018,Broj,Zapadno-hercegovačka županija,religious_schools,M,
2018,Broj,Zapadno-hercegovačka županija,high_schools_for_students_with_disabilities,M,
2019,Broj,Zapadno-hercegovačka županija,Gimnazija,M,
2019,Broj,Zapadno-hercegovačka županija,technical_high_schools,M,
2019,Broj,Zapadno-hercegovačka županija,vocational_high_schools,M,
2019,Broj,Zapadno-hercegovačka županija,Umjetničke škole,M,
2019,Broj,Zapadno-hercegovačka županija,religious_schools,M,
2019,Broj,Zapadno-hercegovačka županija,high_schools_for_students_with_disabilities,M,
2020,Broj,Zapadno-hercegovačka županija,Gimnazija,M,
2020,Broj,Zapadno-hercegovačka županija,technical_high_schools,M,
2020,Broj,Zapadno-hercegovačka županija,vocational_high_schools,M,
2020,Broj,Zapadno-hercegovačka županija,Umjetničke škole,M,
2020,Broj,Zapadno-hercegovačka županija,religious_schools,M,
2020,Broj,Zapadno-hercegovačka županija,high_schools_for_students_with_disabilities,M,
2016,Broj,Sarajevska županija,Gimnazija,M,
2016,Broj,Sarajevska županija,technical_high_schools,M,
2016,Broj,Sarajevska županija,vocational_high_schools,M,
2016,Broj,Sarajevska županija,Umjetničke škole,M,
2016,Broj,Sarajevska županija,religious_schools,M,
2016,Broj,Sarajevska županija,high_schools_for_students_with_disabilities,M,
2017,Broj,Sarajevska županija,Gimnazija,M,
2017,Broj,Sarajevska županija,technical_high_schools,M,
2017,Broj,Sarajevska županija,vocational_high_schools,M,
2017,Broj,Sarajevska županija,Umjetničke škole,M,
2017,Broj,Sarajevska županija,religious_schools,M,
2017,Broj,Sarajevska županija,high_schools_for_students_with_disabilities,M,
2018,Broj,Sarajevska županija,Gimnazija,M,
2018,Broj,Sarajevska županija,technical_high_schools,M,
2018,Broj,Sarajevska županija,vocational_high_schools,M,
2018,Broj,Sarajevska županija,Umjetničke škole,M,
2018,Broj,Sarajevska županija,religious_schools,M,
2018,Broj,Sarajevska županija,high_schools_for_students_with_disabilities,M,
2019,Broj,Sarajevska županija,Gimnazija,M,
2019,Broj,Sarajevska županija,technical_high_schools,M,
2019,Broj,Sarajevska županija,vocational_high_schools,M,
2019,Broj,Sarajevska županija,Umjetničke škole,M,
2019,Broj,Sarajevska županija,religious_schools,M,
2019,Broj,Sarajevska županija,high_schools_for_students_with_disabilities,M,
2020,Broj,Sarajevska županija,Gimnazija,M,
2020,Broj,Sarajevska županija,technical_high_schools,M,
2020,Broj,Sarajevska županija,vocational_high_schools,M,
2020,Broj,Sarajevska županija,Umjetničke škole,M,
2020,Broj,Sarajevska županija,religious_schools,M,
2020,Broj,Sarajevska županija,high_schools_for_students_with_disabilities,M,
2016,Broj,Županija 10,Gimnazija,M,
2016,Broj,Županija 10,technical_high_schools,M,
2016,Broj,Županija 10,vocational_high_schools,M,
2016,Broj,Županija 10,Umjetničke škole,M,
2016,Broj,Županija 10,religious_schools,M,
2016,Broj,Županija 10,high_schools_for_students_with_disabilities,M,
2017,Broj,Županija 10,Gimnazija,M,
2017,Broj,Županija 10,technical_high_schools,M,
2017,Broj,Županija 10,vocational_high_schools,M,
2017,Broj,Županija 10,Umjetničke škole,M,
2017,Broj,Županija 10,religious_schools,M,
2017,Broj,Županija 10,high_schools_for_students_with_disabilities,M,
2018,Broj,Županija 10,Gimnazija,M,
2018,Broj,Županija 10,technical_high_schools,M,
2018,Broj,Županija 10,vocational_high_schools,M,
2018,Broj,Županija 10,Umjetničke škole,M,
2018,Broj,Županija 10,religious_schools,M,
2018,Broj,Županija 10,high_schools_for_students_with_disabilities,M,
2019,Broj,Županija 10,Gimnazija,M,
2019,Broj,Županija 10,technical_high_schools,M,
2019,Broj,Županija 10,vocational_high_schools,M,
2019,Broj,Županija 10,Umjetničke škole,M,
2019,Broj,Županija 10,religious_schools,M,
2019,Broj,Županija 10,high_schools_for_students_with_disabilities,M,
2020,Broj,Županija 10,Gimnazija,M,
2020,Broj,Županija 10,technical_high_schools,M,
2020,Broj,Županija 10,vocational_high_schools,M,
2020,Broj,Županija 10,Umjetničke škole,M,
2020,Broj,Županija 10,religious_schools,M,
2020,Broj,Županija 10,high_schools_for_students_with_disabilities,M,
2016,Broj,Federacija Bosne i Hercegovine,Gimnazija,Ž,
2016,Broj,Federacija Bosne i Hercegovine,technical_high_schools,Ž,
2016,Broj,Federacija Bosne i Hercegovine,vocational_high_schools,Ž,
2016,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Ž,
2016,Broj,Federacija Bosne i Hercegovine,religious_schools,Ž,
2016,Broj,Federacija Bosne i Hercegovine,high_schools_for_students_with_disabilities,Ž,
2017,Broj,Federacija Bosne i Hercegovine,Gimnazija,Ž,
2017,Broj,Federacija Bosne i Hercegovine,technical_high_schools,Ž,
2017,Broj,Federacija Bosne i Hercegovine,vocational_high_schools,Ž,
2017,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Ž,
2017,Broj,Federacija Bosne i Hercegovine,religious_schools,Ž,
2017,Broj,Federacija Bosne i Hercegovine,high_schools_for_students_with_disabilities,Ž,
2018,Broj,Federacija Bosne i Hercegovine,Gimnazija,Ž,
2018,Broj,Federacija Bosne i Hercegovine,technical_high_schools,Ž,
2018,Broj,Federacija Bosne i Hercegovine,vocational_high_schools,Ž,
2018,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Ž,
2018,Broj,Federacija Bosne i Hercegovine,religious_schools,Ž,
2018,Broj,Federacija Bosne i Hercegovine,high_schools_for_students_with_disabilities,Ž,
2019,Broj,Federacija Bosne i Hercegovine,Gimnazija,Ž,
2019,Broj,Federacija Bosne i Hercegovine,technical_high_schools,Ž,
2019,Broj,Federacija Bosne i Hercegovine,vocational_high_schools,Ž,
2019,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Ž,
2019,Broj,Federacija Bosne i Hercegovine,religious_schools,Ž,
2019,Broj,Federacija Bosne i Hercegovine,high_schools_for_students_with_disabilities,Ž,
2020,Broj,Federacija Bosne i Hercegovine,Gimnazija,Ž,
2020,Broj,Federacija Bosne i Hercegovine,technical_high_schools,Ž,
2020,Broj,Federacija Bosne i Hercegovine,vocational_high_schools,Ž,
2020,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Ž,
2020,Broj,Federacija Bosne i Hercegovine,religious_schools,Ž,
2020,Broj,Federacija Bosne i Hercegovine,high_schools_for_students_with_disabilities,Ž,
2016,Broj,Unsko-sanska županija,Gimnazija,Ž,
2016,Broj,Unsko-sanska županija,technical_high_schools,Ž,
2016,Broj,Unsko-sanska županija,vocational_high_schools,Ž,
2016,Broj,Unsko-sanska županija,Umjetničke škole,Ž,
2016,Broj,Unsko-sanska županija,religious_schools,Ž,
2016,Broj,Unsko-sanska županija,high_schools_for_students_with_disabilities,Ž,
2017,Broj,Unsko-sanska županija,Gimnazija,Ž,
2017,Broj,Unsko-sanska županija,technical_high_schools,Ž,
2017,Broj,Unsko-sanska županija,vocational_high_schools,Ž,
2017,Broj,Unsko-sanska županija,Umjetničke škole,Ž,
2017,Broj,Unsko-sanska županija,religious_schools,Ž,
2017,Broj,Unsko-sanska županija,high_schools_for_students_with_disabilities,Ž,
2018,Broj,Unsko-sanska županija,Gimnazija,Ž,
2018,Broj,Unsko-sanska županija,technical_high_schools,Ž,
2018,Broj,Unsko-sanska županija,vocational_high_schools,Ž,
2018,Broj,Unsko-sanska županija,Umjetničke škole,Ž,
2018,Broj,Unsko-sanska županija,religious_schools,Ž,
2018,Broj,Unsko-sanska županija,high_schools_for_students_with_disabilities,Ž,
2019,Broj,Unsko-sanska županija,Gimnazija,Ž,
2019,Broj,Unsko-sanska županija,technical_high_schools,Ž,
2019,Broj,Unsko-sanska županija,vocational_high_schools,Ž,
2019,Broj,Unsko-sanska županija,Umjetničke škole,Ž,
2019,Broj,Unsko-sanska županija,religious_schools,Ž,
2019,Broj,Unsko-sanska županija,high_schools_for_students_with_disabilities,Ž,
2020,Broj,Unsko-sanska županija,Gimnazija,Ž,
2020,Broj,Unsko-sanska županija,technical_high_schools,Ž,
2020,Broj,Unsko-sanska županija,vocational_high_schools,Ž,
2020,Broj,Unsko-sanska županija,Umjetničke škole,Ž,
2020,Broj,Unsko-sanska županija,religious_schools,Ž,
2020,Broj,Unsko-sanska županija,high_schools_for_students_with_disabilities,Ž,
2016,Broj,Posavska županija,Gimnazija,Ž,
2016,Broj,Posavska županija,technical_high_schools,Ž,
2016,Broj,Posavska županija,vocational_high_schools,Ž,
2016,Broj,Posavska županija,Umjetničke škole,Ž,
2016,Broj,Posavska županija,religious_schools,Ž,
2016,Broj,Posavska županija,high_schools_for_students_with_disabilities,Ž,
2017,Broj,Posavska županija,Gimnazija,Ž,
2017,Broj,Posavska županija,technical_high_schools,Ž,
2017,Broj,Posavska županija,vocational_high_schools,Ž,
2017,Broj,Posavska županija,Umjetničke škole,Ž,
2017,Broj,Posavska županija,religious_schools,Ž,
2017,Broj,Posavska županija,high_schools_for_students_with_disabilities,Ž,
2018,Broj,Posavska županija,Gimnazija,Ž,
2018,Broj,Posavska županija,technical_high_schools,Ž,
2018,Broj,Posavska županija,vocational_high_schools,Ž,
2018,Broj,Posavska županija,Umjetničke škole,Ž,
2018,Broj,Posavska županija,religious_schools,Ž,
2018,Broj,Posavska županija,high_schools_for_students_with_disabilities,Ž,
2019,Broj,Posavska županija,Gimnazija,Ž,
2019,Broj,Posavska županija,technical_high_schools,Ž,
2019,Broj,Posavska županija,vocational_high_schools,Ž,
2019,Broj,Posavska županija,Umjetničke škole,Ž,
2019,Broj,Posavska županija,religious_schools,Ž,
2019,Broj,Posavska županija,high_schools_for_students_with_disabilities,Ž,
2020,Broj,Posavska županija,Gimnazija,Ž,
2020,Broj,Posavska županija,technical_high_schools,Ž,
2020,Broj,Posavska županija,vocational_high_schools,Ž,
2020,Broj,Posavska županija,Umjetničke škole,Ž,
2020,Broj,Posavska županija,religious_schools,Ž,
2020,Broj,Posavska županija,high_schools_for_students_with_disabilities,Ž,
2016,Broj,Tuzlanska županija,Gimnazija,Ž,
2016,Broj,Tuzlanska županija,technical_high_schools,Ž,
2016,Broj,Tuzlanska županija,vocational_high_schools,Ž,
2016,Broj,Tuzlanska županija,Umjetničke škole,Ž,
2016,Broj,Tuzlanska županija,religious_schools,Ž,
2016,Broj,Tuzlanska županija,high_schools_for_students_with_disabilities,Ž,
2017,Broj,Tuzlanska županija,Gimnazija,Ž,
2017,Broj,Tuzlanska županija,technical_high_schools,Ž,
2017,Broj,Tuzlanska županija,vocational_high_schools,Ž,
2017,Broj,Tuzlanska županija,Umjetničke škole,Ž,
2017,Broj,Tuzlanska županija,religious_schools,Ž,
2017,Broj,Tuzlanska županija,high_schools_for_students_with_disabilities,Ž,
2018,Broj,Tuzlanska županija,Gimnazija,Ž,
2018,Broj,Tuzlanska županija,technical_high_schools,Ž,
2018,Broj,Tuzlanska županija,vocational_high_schools,Ž,
2018,Broj,Tuzlanska županija,Umjetničke škole,Ž,
2018,Broj,Tuzlanska županija,religious_schools,Ž,
2018,Broj,Tuzlanska županija,high_schools_for_students_with_disabilities,Ž,
2019,Broj,Tuzlanska županija,Gimnazija,Ž,
2019,Broj,Tuzlanska županija,technical_high_schools,Ž,
2019,Broj,Tuzlanska županija,vocational_high_schools,Ž,
2019,Broj,Tuzlanska županija,Umjetničke škole,Ž,
2019,Broj,Tuzlanska županija,religious_schools,Ž,
2019,Broj,Tuzlanska županija,high_schools_for_students_with_disabilities,Ž,
2020,Broj,Tuzlanska županija,Gimnazija,Ž,
2020,Broj,Tuzlanska županija,technical_high_schools,Ž,
2020,Broj,Tuzlanska županija,vocational_high_schools,Ž,
2020,Broj,Tuzlanska županija,Umjetničke škole,Ž,
2020,Broj,Tuzlanska županija,religious_schools,Ž,
2020,Broj,Tuzlanska županija,high_schools_for_students_with_disabilities,Ž,
2016,Broj,Zeničko-dobojska županija,Gimnazija,Ž,
2016,Broj,Zeničko-dobojska županija,technical_high_schools,Ž,
2016,Broj,Zeničko-dobojska županija,vocational_high_schools,Ž,
2016,Broj,Zeničko-dobojska županija,Umjetničke škole,Ž,
2016,Broj,Zeničko-dobojska županija,religious_schools,Ž,
2016,Broj,Zeničko-dobojska županija,high_schools_for_students_with_disabilities,Ž,
2017,Broj,Zeničko-dobojska županija,Gimnazija,Ž,
2017,Broj,Zeničko-dobojska županija,technical_high_schools,Ž,
2017,Broj,Zeničko-dobojska županija,vocational_high_schools,Ž,
2017,Broj,Zeničko-dobojska županija,Umjetničke škole,Ž,
2017,Broj,Zeničko-dobojska županija,religious_schools,Ž,
2017,Broj,Zeničko-dobojska županija,high_schools_for_students_with_disabilities,Ž,
2018,Broj,Zeničko-dobojska županija,Gimnazija,Ž,
2018,Broj,Zeničko-dobojska županija,technical_high_schools,Ž,
2018,Broj,Zeničko-dobojska županija,vocational_high_schools,Ž,
2018,Broj,Zeničko-dobojska županija,Umjetničke škole,Ž,
2018,Broj,Zeničko-dobojska županija,religious_schools,Ž,
2018,Broj,Zeničko-dobojska županija,high_schools_for_students_with_disabilities,Ž,
2019,Broj,Zeničko-dobojska županija,Gimnazija,Ž,
2019,Broj,Zeničko-dobojska županija,technical_high_schools,Ž,
2019,Broj,Zeničko-dobojska županija,vocational_high_schools,Ž,
2019,Broj,Zeničko-dobojska županija,Umjetničke škole,Ž,
2019,Broj,Zeničko-dobojska županija,religious_schools,Ž,
2019,Broj,Zeničko-dobojska županija,high_schools_for_students_with_disabilities,Ž,
2020,Broj,Zeničko-dobojska županija,Gimnazija,Ž,
2020,Broj,Zeničko-dobojska županija,technical_high_schools,Ž,
2020,Broj,Zeničko-dobojska županija,vocational_high_schools,Ž,
2020,Broj,Zeničko-dobojska županija,Umjetničke škole,Ž,
2020,Broj,Zeničko-dobojska županija,religious_schools,Ž,
2020,Broj,Zeničko-dobojska županija,high_schools_for_students_with_disabilities,Ž,
2016,Broj,Bosansko-podrinjska županija,Gimnazija,Ž,
2016,Broj,Bosansko-podrinjska županija,technical_high_schools,Ž,
2016,Broj,Bosansko-podrinjska županija,vocational_high_schools,Ž,
2016,Broj,Bosansko-podrinjska županija,Umjetničke škole,Ž,
2016,Broj,Bosansko-podrinjska županija,religious_schools,Ž,
2016,Broj,Bosansko-podrinjska županija,high_schools_for_students_with_disabilities,Ž,
2017,Broj,Bosansko-podrinjska županija,Gimnazija,Ž,
2017,Broj,Bosansko-podrinjska županija,technical_high_schools,Ž,
2017,Broj,Bosansko-podrinjska županija,vocational_high_schools,Ž,
2017,Broj,Bosansko-podrinjska županija,Umjetničke škole,Ž,
2017,Broj,Bosansko-podrinjska županija,religious_schools,Ž,
2017,Broj,Bosansko-podrinjska županija,high_schools_for_students_with_disabilities,Ž,
2018,Broj,Bosansko-podrinjska županija,Gimnazija,Ž,
2018,Broj,Bosansko-podrinjska županija,technical_high_schools,Ž,
2018,Broj,Bosansko-podrinjska županija,vocational_high_schools,Ž,
2018,Broj,Bosansko-podrinjska županija,Umjetničke škole,Ž,
2018,Broj,Bosansko-podrinjska županija,religious_schools,Ž,
2018,Broj,Bosansko-podrinjska županija,high_schools_for_students_with_disabilities,Ž,
2019,Broj,Bosansko-podrinjska županija,Gimnazija,Ž,
2019,Broj,Bosansko-podrinjska županija,technical_high_schools,Ž,
2019,Broj,Bosansko-podrinjska županija,vocational_high_schools,Ž,
2019,Broj,Bosansko-podrinjska županija,Umjetničke škole,Ž,
2019,Broj,Bosansko-podrinjska županija,religious_schools,Ž,
2019,Broj,Bosansko-podrinjska županija,high_schools_for_students_with_disabilities,Ž,
2020,Broj,Bosansko-podrinjska županija,Gimnazija,Ž,
2020,Broj,Bosansko-podrinjska županija,technical_high_schools,Ž,
2020,Broj,Bosansko-podrinjska županija,vocational_high_schools,Ž,
2020,Broj,Bosansko-podrinjska županija,Umjetničke škole,Ž,
2020,Broj,Bosansko-podrinjska županija,religious_schools,Ž,
2020,Broj,Bosansko-podrinjska županija,high_schools_for_students_with_disabilities,Ž,
2016,Broj,Srednjobosanska županija,Gimnazija,Ž,
2016,Broj,Srednjobosanska županija,technical_high_schools,Ž,
2016,Broj,Srednjobosanska županija,vocational_high_schools,Ž,
2016,Broj,Srednjobosanska županija,Umjetničke škole,Ž,
2016,Broj,Srednjobosanska županija,religious_schools,Ž,
2016,Broj,Srednjobosanska županija,high_schools_for_students_with_disabilities,Ž,
2017,Broj,Srednjobosanska županija,Gimnazija,Ž,
2017,Broj,Srednjobosanska županija,technical_high_schools,Ž,
2017,Broj,Srednjobosanska županija,vocational_high_schools,Ž,
