Year,UNIT_MEASURE,Sex,Age,Cause_of_death,Value
2009,Number,F,70-74,(P00-P96) Certain conditions originating in the perinatal period,0
2009,Number,F,70-74,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2009,Number,F,70-74,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2009,Number,F,70-74,(Z00-Z99) Factors influencing health status and contract with health services,0
2009,Number,F,70-74,(F00-F99) Mental and behavioural disorders,1
2009,Number,F,70-74,(L00-L99) Diseases of the skin and subcutaneous tissue,1
2009,Number,F,70-74,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",1
2009,Number,F,70-74,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",3
2009,Number,F,70-74,(A00-B99) Infectious and parasitic diseases,12
2009,Number,F,70-74,(E00-E90) Endocrine metabolic and nutritional diseases,157
2009,Number,F,70-74,(G00-G99) Diseases of the nervous system,17
2009,Number,F,70-74,(I00-I99) Diseases of the circulatory system,907
2009,Number,F,70-74,(J00-J99) Diseases of the respiratory system,59
2009,Number,F,70-74,(K00-K93) Diseases of the digestive system,40
2009,Number,F,70-74,(N00-N99) Diseases of the genitourinary system,40
2009,Number,F,70-74,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",74
2009,Number,F,70-74,"(S00-T98) Injuries, poisoning and consequences of external causes",12
2009,Number,F,70-74,Unknown,38
2009,Number,F,70-74,"(C00-C97,D00-D48) Neoplasms",285
2009,Number,Both sexes,75-79,(P00-P96) Certain conditions originating in the perinatal period,0
2009,Number,Both sexes,75-79,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2009,Number,Both sexes,75-79,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",0
2009,Number,Both sexes,75-79,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2009,Number,Both sexes,75-79,(Z00-Z99) Factors influencing health status and contract with health services,1
2009,Number,Both sexes,75-79,(M00-M99) Diseases of the musculoskeletal system and connective tissue,2
2009,Number,Both sexes,75-79,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",3
2009,Number,Both sexes,75-79,(G00-G99) Diseases of the nervous system,41
2009,Number,Both sexes,75-79,(A00-B99) Infectious and parasitic diseases,36
2009,Number,Both sexes,75-79,(N00-N99) Diseases of the genitourinary system,67
2009,Number,Both sexes,75-79,(E00-E90) Endocrine metabolic and nutritional diseases,252
2009,Number,Both sexes,75-79,(J00-J99) Diseases of the respiratory system,145
2009,Number,Both sexes,75-79,Unknown,63
2009,Number,Both sexes,75-79,(K00-K93) Diseases of the digestive system,84
2009,Number,Both sexes,75-79,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",190
2009,Number,Both sexes,75-79,"(C00-C97,D00-D48) Neoplasms",659
2009,Number,Both sexes,75-79,(I00-I99) Diseases of the circulatory system,2344
2009,Number,Both sexes,75-79,"(S00-T98) Injuries, poisoning and consequences of external causes",48
2009,Number,Both sexes,75-79,(F00-F99) Mental and behavioural disorders,5
2009,Number,M,75-79,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2009,Number,M,75-79,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",0
2009,Number,M,75-79,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2009,Number,M,75-79,(P00-P96) Certain conditions originating in the perinatal period,0
2009,Number,M,75-79,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",1
2009,Number,M,75-79,(F00-F99) Mental and behavioural disorders,1
2009,Number,M,75-79,(M00-M99) Diseases of the musculoskeletal system and connective tissue,1
2009,Number,M,75-79,(Z00-Z99) Factors influencing health status and contract with health services,1
2009,Number,M,75-79,"(S00-T98) Injuries, poisoning and consequences of external causes",34
2009,Number,M,75-79,(I00-I99) Diseases of the circulatory system,1055
2009,Number,M,75-79,"(C00-C97,D00-D48) Neoplasms",397
2009,Number,M,75-79,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",92
2009,Number,M,75-79,(K00-K93) Diseases of the digestive system,42
2009,Number,M,75-79,Unknown,34
2009,Number,M,75-79,(J00-J99) Diseases of the respiratory system,85
2009,Number,M,75-79,(E00-E90) Endocrine metabolic and nutritional diseases,83
2009,Number,M,75-79,(N00-N99) Diseases of the genitourinary system,39
2009,Number,M,75-79,(A00-B99) Infectious and parasitic diseases,19
2009,Number,M,75-79,(G00-G99) Diseases of the nervous system,20
2009,Number,F,75-79,(P00-P96) Certain conditions originating in the perinatal period,0
2009,Number,F,75-79,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2009,Number,F,75-79,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",0
2009,Number,F,75-79,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2009,Number,F,75-79,(Z00-Z99) Factors influencing health status and contract with health services,0
2009,Number,F,75-79,(M00-M99) Diseases of the musculoskeletal system and connective tissue,1
2009,Number,F,75-79,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",2
2009,Number,F,75-79,(F00-F99) Mental and behavioural disorders,4
2009,Number,F,75-79,(A00-B99) Infectious and parasitic diseases,17
2009,Number,F,75-79,(E00-E90) Endocrine metabolic and nutritional diseases,169
2009,Number,F,75-79,(G00-G99) Diseases of the nervous system,21
2009,Number,F,75-79,(I00-I99) Diseases of the circulatory system,1289
2009,Number,F,75-79,(J00-J99) Diseases of the respiratory system,60
2009,Number,F,75-79,(K00-K93) Diseases of the digestive system,42
2009,Number,F,75-79,(N00-N99) Diseases of the genitourinary system,28
2009,Number,F,75-79,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",98
2009,Number,F,75-79,"(S00-T98) Injuries, poisoning and consequences of external causes",14
2009,Number,F,75-79,Unknown,29
2009,Number,F,75-79,"(C00-C97,D00-D48) Neoplasms",262
2009,Number,Both sexes,80-84,(P00-P96) Certain conditions originating in the perinatal period,0
2009,Number,Both sexes,80-84,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2009,Number,Both sexes,80-84,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2009,Number,Both sexes,80-84,(Z00-Z99) Factors influencing health status and contract with health services,0
2009,Number,Both sexes,80-84,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",2
2009,Number,Both sexes,80-84,(F00-F99) Mental and behavioural disorders,15
2009,Number,Both sexes,80-84,(G00-G99) Diseases of the nervous system,17
2009,Number,Both sexes,80-84,(A00-B99) Infectious and parasitic diseases,14
2009,Number,Both sexes,80-84,(N00-N99) Diseases of the genitourinary system,43
2009,Number,Both sexes,80-84,(E00-E90) Endocrine metabolic and nutritional diseases,191
2009,Number,Both sexes,80-84,(J00-J99) Diseases of the respiratory system,116
2009,Number,Both sexes,80-84,Unknown,58
2009,Number,Both sexes,80-84,(K00-K93) Diseases of the digestive system,57
2009,Number,Both sexes,80-84,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",161
2009,Number,Both sexes,80-84,"(C00-C97,D00-D48) Neoplasms",360
2009,Number,Both sexes,80-84,(I00-I99) Diseases of the circulatory system,2024
2009,Number,Both sexes,80-84,"(S00-T98) Injuries, poisoning and consequences of external causes",25
2009,Number,Both sexes,80-84,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",7
2009,Number,Both sexes,80-84,(M00-M99) Diseases of the musculoskeletal system and connective tissue,6
2009,Number,M,80-84,(Z00-Z99) Factors influencing health status and contract with health services,0
2009,Number,M,80-84,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2009,Number,M,80-84,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2009,Number,M,80-84,(P00-P96) Certain conditions originating in the perinatal period,0
2009,Number,M,80-84,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",1
2009,Number,M,80-84,(M00-M99) Diseases of the musculoskeletal system and connective tissue,2
2009,Number,M,80-84,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",3
2009,Number,M,80-84,"(S00-T98) Injuries, poisoning and consequences of external causes",11
2009,Number,M,80-84,(I00-I99) Diseases of the circulatory system,729
2009,Number,M,80-84,"(C00-C97,D00-D48) Neoplasms",199
2009,Number,M,80-84,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",61
2009,Number,M,80-84,(K00-K93) Diseases of the digestive system,28
2009,Number,M,80-84,Unknown,20
2009,Number,M,80-84,(J00-J99) Diseases of the respiratory system,53
2009,Number,M,80-84,(E00-E90) Endocrine metabolic and nutritional diseases,59
2009,Number,M,80-84,(N00-N99) Diseases of the genitourinary system,19
2009,Number,M,80-84,(A00-B99) Infectious and parasitic diseases,9
2009,Number,M,80-84,(G00-G99) Diseases of the nervous system,10
2009,Number,M,80-84,(F00-F99) Mental and behavioural disorders,5
2009,Number,F,80-84,(P00-P96) Certain conditions originating in the perinatal period,0
2009,Number,F,80-84,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2009,Number,F,80-84,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2009,Number,F,80-84,(Z00-Z99) Factors influencing health status and contract with health services,0
2009,Number,F,80-84,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",1
2009,Number,F,80-84,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",4
2009,Number,F,80-84,(M00-M99) Diseases of the musculoskeletal system and connective tissue,4
2009,Number,F,80-84,(A00-B99) Infectious and parasitic diseases,5
2009,Number,F,80-84,(G00-G99) Diseases of the nervous system,7
2009,Number,F,80-84,(E00-E90) Endocrine metabolic and nutritional diseases,132
2009,Number,F,80-84,(F00-F99) Mental and behavioural disorders,10
2009,Number,F,80-84,(I00-I99) Diseases of the circulatory system,1295
2009,Number,F,80-84,(J00-J99) Diseases of the respiratory system,63
2009,Number,F,80-84,(K00-K93) Diseases of the digestive system,29
2009,Number,F,80-84,(N00-N99) Diseases of the genitourinary system,24
2009,Number,F,80-84,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",100
2009,Number,F,80-84,"(S00-T98) Injuries, poisoning and consequences of external causes",14
2009,Number,F,80-84,Unknown,38
2009,Number,F,80-84,"(C00-C97,D00-D48) Neoplasms",161
2009,Number,Both sexes,85+,(P00-P96) Certain conditions originating in the perinatal period,0
2009,Number,Both sexes,85+,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2009,Number,Both sexes,85+,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",0
2009,Number,Both sexes,85+,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2009,Number,Both sexes,85+,(Z00-Z99) Factors influencing health status and contract with health services,0
2009,Number,Both sexes,85+,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",3
2009,Number,Both sexes,85+,(M00-M99) Diseases of the musculoskeletal system and connective tissue,4
2009,Number,Both sexes,85+,(G00-G99) Diseases of the nervous system,10
2009,Number,Both sexes,85+,(F00-F99) Mental and behavioural disorders,8
2009,Number,Both sexes,85+,(A00-B99) Infectious and parasitic diseases,15
2009,Number,Both sexes,85+,(N00-N99) Diseases of the genitourinary system,20
2009,Number,Both sexes,85+,(E00-E90) Endocrine metabolic and nutritional diseases,81
2009,Number,Both sexes,85+,(J00-J99) Diseases of the respiratory system,66
2009,Number,Both sexes,85+,Unknown,58
2009,Number,Both sexes,85+,(K00-K93) Diseases of the digestive system,27
2009,Number,Both sexes,85+,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",145
2009,Number,Both sexes,85+,"(C00-C97,D00-D48) Neoplasms",135
2009,Number,Both sexes,85+,(I00-I99) Diseases of the circulatory system,1497
2009,Number,Both sexes,85+,"(S00-T98) Injuries, poisoning and consequences of external causes",25
2009,Number,M,85+,(Z00-Z99) Factors influencing health status and contract with health services,0
2009,Number,M,85+,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2009,Number,M,85+,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2009,Number,M,85+,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",0
2009,Number,M,85+,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2009,Number,M,85+,(P00-P96) Certain conditions originating in the perinatal period,0
2009,Number,M,85+,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",1
2009,Number,M,85+,(F00-F99) Mental and behavioural disorders,3
2009,Number,M,85+,(G00-G99) Diseases of the nervous system,4
2009,Number,M,85+,"(S00-T98) Injuries, poisoning and consequences of external causes",15
2009,Number,M,85+,(I00-I99) Diseases of the circulatory system,410
2009,Number,M,85+,"(C00-C97,D00-D48) Neoplasms",58
2009,Number,M,85+,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",34
2009,Number,M,85+,(K00-K93) Diseases of the digestive system,9
2009,Number,M,85+,Unknown,19
2009,Number,M,85+,(J00-J99) Diseases of the respiratory system,19
2009,Number,M,85+,(E00-E90) Endocrine metabolic and nutritional diseases,26
2009,Number,M,85+,(A00-B99) Infectious and parasitic diseases,8
2009,Number,M,85+,(N00-N99) Diseases of the genitourinary system,8
2009,Number,F,85+,(P00-P96) Certain conditions originating in the perinatal period,0
2009,Number,F,85+,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2009,Number,F,85+,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",0
2009,Number,F,85+,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2009,Number,F,85+,(Z00-Z99) Factors influencing health status and contract with health services,0
2009,Number,F,85+,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",2
2009,Number,F,85+,(M00-M99) Diseases of the musculoskeletal system and connective tissue,4
2009,Number,F,85+,(F00-F99) Mental and behavioural disorders,5
2009,Number,F,85+,(G00-G99) Diseases of the nervous system,6
2009,Number,F,85+,(A00-B99) Infectious and parasitic diseases,7
2009,Number,F,85+,(E00-E90) Endocrine metabolic and nutritional diseases,55
2009,Number,F,85+,(I00-I99) Diseases of the circulatory system,1087
2009,Number,F,85+,(J00-J99) Diseases of the respiratory system,47
2009,Number,F,85+,(K00-K93) Diseases of the digestive system,18
2009,Number,F,85+,(N00-N99) Diseases of the genitourinary system,12
2009,Number,F,85+,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",111
2009,Number,F,85+,"(S00-T98) Injuries, poisoning and consequences of external causes",10
2009,Number,F,85+,Unknown,39
2009,Number,F,85+,"(C00-C97,D00-D48) Neoplasms",77
2009,Number,Both sexes,Unknown,(P00-P96) Certain conditions originating in the perinatal period,0
2009,Number,Both sexes,Unknown,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2009,Number,Both sexes,Unknown,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",0
2009,Number,Both sexes,Unknown,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2009,Number,Both sexes,Unknown,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",0
2009,Number,Both sexes,Unknown,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2009,Number,Both sexes,Unknown,(Z00-Z99) Factors influencing health status and contract with health services,0
2009,Number,Both sexes,Unknown,(F00-F99) Mental and behavioural disorders,0
2009,Number,Both sexes,Unknown,(A00-B99) Infectious and parasitic diseases,0
2009,Number,Both sexes,Unknown,(E00-E90) Endocrine metabolic and nutritional diseases,0
2009,Number,Both sexes,Unknown,(G00-G99) Diseases of the nervous system,0
2009,Number,Both sexes,Unknown,(J00-J99) Diseases of the respiratory system,0
2009,Number,Both sexes,Unknown,(K00-K93) Diseases of the digestive system,0
2009,Number,Both sexes,Unknown,(N00-N99) Diseases of the genitourinary system,0
2009,Number,Both sexes,Unknown,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",0
2009,Number,Both sexes,Unknown,"(S00-T98) Injuries, poisoning and consequences of external causes",0
2009,Number,Both sexes,Unknown,Unknown,0
2009,Number,Both sexes,Unknown,"(C00-C97,D00-D48) Neoplasms",1
2009,Number,Both sexes,Unknown,(I00-I99) Diseases of the circulatory system,3
2009,Number,M,Unknown,(A00-B99) Infectious and parasitic diseases,0
2009,Number,M,Unknown,(E00-E90) Endocrine metabolic and nutritional diseases,0
2009,Number,M,Unknown,(G00-G99) Diseases of the nervous system,0
2009,Number,M,Unknown,(J00-J99) Diseases of the respiratory system,0
2009,Number,M,Unknown,(K00-K93) Diseases of the digestive system,0
2009,Number,M,Unknown,(N00-N99) Diseases of the genitourinary system,0
2009,Number,M,Unknown,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",0
2009,Number,M,Unknown,"(S00-T98) Injuries, poisoning and consequences of external causes",0
2009,Number,M,Unknown,Unknown,0
2009,Number,M,Unknown,(F00-F99) Mental and behavioural disorders,0
2009,Number,M,Unknown,(Z00-Z99) Factors influencing health status and contract with health services,0
2009,Number,M,Unknown,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2009,Number,M,Unknown,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",0
2009,Number,M,Unknown,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2009,Number,M,Unknown,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",0
2009,Number,M,Unknown,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2009,Number,M,Unknown,(P00-P96) Certain conditions originating in the perinatal period,0
2009,Number,M,Unknown,"(C00-C97,D00-D48) Neoplasms",1
2009,Number,M,Unknown,(I00-I99) Diseases of the circulatory system,3
2009,Number,F,Unknown,(P00-P96) Certain conditions originating in the perinatal period,0
2009,Number,F,Unknown,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2009,Number,F,Unknown,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",0
2009,Number,F,Unknown,(A00-B99) Infectious and parasitic diseases,0
2009,Number,F,Unknown,"(C00-C97,D00-D48) Neoplasms",0
2009,Number,F,Unknown,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",0
2009,Number,F,Unknown,(E00-E90) Endocrine metabolic and nutritional diseases,0
2009,Number,F,Unknown,(F00-F99) Mental and behavioural disorders,0
2009,Number,F,Unknown,(G00-G99) Diseases of the nervous system,0
2009,Number,F,Unknown,(I00-I99) Diseases of the circulatory system,0
2009,Number,F,Unknown,(J00-J99) Diseases of the respiratory system,0
2009,Number,F,Unknown,(K00-K93) Diseases of the digestive system,0
2009,Number,F,Unknown,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2009,Number,F,Unknown,(N00-N99) Diseases of the genitourinary system,0
2009,Number,F,Unknown,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2009,Number,F,Unknown,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",0
2009,Number,F,Unknown,"(S00-T98) Injuries, poisoning and consequences of external causes",0
2009,Number,F,Unknown,(Z00-Z99) Factors influencing health status and contract with health services,0
2009,Number,F,Unknown,Unknown,0
2010,Number,Both sexes,Total,(H00-H59) Diseases of the eye,1
2010,Number,Both sexes,Total,(A00-B99) Infectious and parasitic diseases,165
2010,Number,Both sexes,Total,"(C00-C97,D00-D48) Neoplasms",4123
2010,Number,Both sexes,Total,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",28
2010,Number,Both sexes,Total,(E00-E90) Endocrine metabolic and nutritional diseases,1169
2010,Number,Both sexes,Total,(F00-F99) Mental and behavioural disorders,74
2010,Number,Both sexes,Total,(G00-G99) Diseases of the nervous system,188
2010,Number,Both sexes,Total,(I00-I99) Diseases of the circulatory system,11036
2010,Number,Both sexes,Total,(J00-J99) Diseases of the respiratory system,679
2010,Number,Both sexes,Total,(K00-K93) Diseases of the digestive system,505
2010,Number,Both sexes,Total,(M00-M99) Diseases of the musculoskeletal system and connective tissue,31
2010,Number,Both sexes,Total,(N00-N99) Diseases of the genitourinary system,310
2010,Number,Both sexes,Total,(P00-P96) Certain conditions originating in the perinatal period,109
2010,Number,Both sexes,Total,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",46
2010,Number,Both sexes,Total,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",1024
2010,Number,Both sexes,Total,Unknown,404
2010,Number,Both sexes,Total,"(S00-T98) Injuries, poisoning and consequences of external causes",583
2010,Number,Both sexes,Total,(L00-L99) Diseases of the skin and subcutaneous tissue,7
2010,Number,M,Total,(H00-H59) Diseases of the eye,0
2010,Number,M,Total,(L00-L99) Diseases of the skin and subcutaneous tissue,1
2010,Number,M,Total,"(S00-T98) Injuries, poisoning and consequences of external causes",454
2010,Number,M,Total,(A00-B99) Infectious and parasitic diseases,105
2010,Number,M,Total,"(C00-C97,D00-D48) Neoplasms",2377
2010,Number,M,Total,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",10
2010,Number,M,Total,(E00-E90) Endocrine metabolic and nutritional diseases,421
2010,Number,M,Total,(F00-F99) Mental and behavioural disorders,35
2010,Number,M,Total,(G00-G99) Diseases of the nervous system,98
2010,Number,M,Total,(I00-I99) Diseases of the circulatory system,5141
2010,Number,M,Total,(J00-J99) Diseases of the respiratory system,395
2010,Number,M,Total,(K00-K93) Diseases of the digestive system,293
2010,Number,M,Total,(M00-M99) Diseases of the musculoskeletal system and connective tissue,13
2010,Number,M,Total,(N00-N99) Diseases of the genitourinary system,148
2010,Number,M,Total,(P00-P96) Certain conditions originating in the perinatal period,63
2010,Number,M,Total,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",27
2010,Number,M,Total,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",552
2010,Number,M,Total,Unknown,220
2010,Number,F,Total,(H00-H59) Diseases of the eye,1
2010,Number,F,Total,(L00-L99) Diseases of the skin and subcutaneous tissue,6
2010,Number,F,Total,(A00-B99) Infectious and parasitic diseases,60
2010,Number,F,Total,"(C00-C97,D00-D48) Neoplasms",1746
2010,Number,F,Total,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",18
2010,Number,F,Total,(E00-E90) Endocrine metabolic and nutritional diseases,748
2010,Number,F,Total,(F00-F99) Mental and behavioural disorders,39
2010,Number,F,Total,(G00-G99) Diseases of the nervous system,90
2010,Number,F,Total,(I00-I99) Diseases of the circulatory system,5895
2010,Number,F,Total,(J00-J99) Diseases of the respiratory system,284
2010,Number,F,Total,(K00-K93) Diseases of the digestive system,212
2010,Number,F,Total,(M00-M99) Diseases of the musculoskeletal system and connective tissue,18
2010,Number,F,Total,(N00-N99) Diseases of the genitourinary system,162
2010,Number,F,Total,(P00-P96) Certain conditions originating in the perinatal period,46
2010,Number,F,Total,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",19
2010,Number,F,Total,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",472
2010,Number,F,Total,"(S00-T98) Injuries, poisoning and consequences of external causes",129
2010,Number,F,Total,Unknown,184
2010,Number,Both sexes,0,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2010,Number,Both sexes,0,(H00-H59) Diseases of the eye,0
2010,Number,Both sexes,0,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",0
2010,Number,Both sexes,0,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2010,Number,Both sexes,0,(F00-F99) Mental and behavioural disorders,0
2010,Number,Both sexes,0,(N00-N99) Diseases of the genitourinary system,0
2010,Number,Both sexes,0,"(S00-T98) Injuries, poisoning and consequences of external causes",0
2010,Number,Both sexes,0,"(C00-C97,D00-D48) Neoplasms",1
2010,Number,Both sexes,0,(J00-J99) Diseases of the respiratory system,1
2010,Number,Both sexes,0,(K00-K93) Diseases of the digestive system,1
2010,Number,Both sexes,0,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",2
2010,Number,Both sexes,0,(E00-E90) Endocrine metabolic and nutritional diseases,3
2010,Number,Both sexes,0,Unknown,3
2010,Number,Both sexes,0,(G00-G99) Diseases of the nervous system,4
2010,Number,Both sexes,0,(P00-P96) Certain conditions originating in the perinatal period,109
2010,Number,Both sexes,0,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",31
2010,Number,Both sexes,0,(I00-I99) Diseases of the circulatory system,12
2010,Number,Both sexes,0,(A00-B99) Infectious and parasitic diseases,5
2010,Number,M,0,(J00-J99) Diseases of the respiratory system,0
2010,Number,M,0,(N00-N99) Diseases of the genitourinary system,0
2010,Number,M,0,"(S00-T98) Injuries, poisoning and consequences of external causes",0
2010,Number,M,0,(F00-F99) Mental and behavioural disorders,0
2010,Number,M,0,(H00-H59) Diseases of the eye,0
2010,Number,M,0,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",0
2010,Number,M,0,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2010,Number,M,0,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2010,Number,M,0,"(C00-C97,D00-D48) Neoplasms",1
2010,Number,M,0,(E00-E90) Endocrine metabolic and nutritional diseases,1
2010,Number,M,0,(G00-G99) Diseases of the nervous system,1
2010,Number,M,0,(K00-K93) Diseases of the digestive system,1
2010,Number,M,0,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",2
2010,Number,M,0,Unknown,2
2010,Number,M,0,(P00-P96) Certain conditions originating in the perinatal period,63
2010,Number,M,0,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",22
2010,Number,M,0,(I00-I99) Diseases of the circulatory system,7
2010,Number,M,0,(A00-B99) Infectious and parasitic diseases,5
2010,Number,F,0,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2010,Number,F,0,(A00-B99) Infectious and parasitic diseases,0
2010,Number,F,0,"(C00-C97,D00-D48) Neoplasms",0
2010,Number,F,0,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",0
2010,Number,F,0,(F00-F99) Mental and behavioural disorders,0
2010,Number,F,0,(H00-H59) Diseases of the eye,0
2010,Number,F,0,(K00-K93) Diseases of the digestive system,0
2010,Number,F,0,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2010,Number,F,0,(N00-N99) Diseases of the genitourinary system,0
2010,Number,F,0,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",0
2010,Number,F,0,"(S00-T98) Injuries, poisoning and consequences of external causes",0
2010,Number,F,0,(J00-J99) Diseases of the respiratory system,1
2010,Number,F,0,Unknown,1
2010,Number,F,0,(E00-E90) Endocrine metabolic and nutritional diseases,2
2010,Number,F,0,(G00-G99) Diseases of the nervous system,3
2010,Number,F,0,(I00-I99) Diseases of the circulatory system,5
2010,Number,F,0,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",9
2010,Number,F,0,(P00-P96) Certain conditions originating in the perinatal period,46
2010,Number,Both sexes, 1-4,(P00-P96) Certain conditions originating in the perinatal period,0
2010,Number,Both sexes, 1-4,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2010,Number,Both sexes, 1-4,(H00-H59) Diseases of the eye,0
2010,Number,Both sexes, 1-4,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",0
2010,Number,Both sexes, 1-4,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2010,Number,Both sexes, 1-4,(F00-F99) Mental and behavioural disorders,0
2010,Number,Both sexes, 1-4,(E00-E90) Endocrine metabolic and nutritional diseases,0
2010,Number,Both sexes, 1-4,(I00-I99) Diseases of the circulatory system,0
