Year,UNIT_MEASURE,Administrative Area,Household size,Value
2023,Number,Sanski Most,7,347
2023,Number,Velika Kladusa,7,338
2023,Number,Posavina Canton,7,321
2023,Number,Domaljevac-Samac,7,36
2023,Number,Odzak,7,137
2023,Number,Orasje,7,148
2023,Number,Tuzla Canton,7,1427
2023,Number,Banovici,7,51
2023,Number,Celic,7,61
2023,Number,Doboj-Istok,7,37
2023,Number,Gracanica,7,135
2023,Number,Gradacac,7,250
2023,Number,Kalesija,7,163
2023,Number,Kladanj,7,37
2023,Number,Lukavac,7,59
2023,Number,Sapna,7,91
2023,Number,Srebrenik,7,152
2023,Number,Teocak,7,57
2023,Number,Tuzla,7,142
2023,Number,Zivinice,7,192
2023,Number,Zenica-Doboj Canton,7,1245
2023,Number,Breza,7,24
2023,Number,Doboj-Jug,7,15
2023,Number,Kakanj,7,119
2023,Number,Maglaj,7,82
2023,Number,Olovo,7,27
2023,Number,Tesanj,7,194
2023,Number,Usora,7,50
2023,Number,Vares,7,7
2023,Number,Visoko,7,135
2023,Number,Zavidovici,7,102
2023,Number,Zenica,7,275
2023,Number,Zepce,7,215
2023,Number,Bosnian-Podrinje Canton,7,71
2023,Number,foca-fbih,7,9
2023,Number,Gorazde,7,56
2023,Number,Pale-FBiH,7,6
2023,Number,Central Bosnia Canton,7,1496
2023,Number,Bugojno,7,226
2023,Number,Busovaca,7,78
2023,Number,Dobretici,7,19
2023,Number,Donji Vakuf,7,74
2023,Number,Fojnica,7,43
2023,Number,Gornji Vakuf-Uskoplje,7,177
2023,Number,Jajce,7,219
2023,Number,Kiseljak,7,77
2023,Number,Kresevo,7,18
2023,Number,Novi Travnik,7,127
2023,Number,Travnik,7,337
2023,Number,Vitez,7,101
2023,Number,Herzegovina-Neretva Canton,7,1576
2023,Number,Capljina,7,225
2023,Number,Citluk,7,260
2023,Number,Grad Mostar,7,547
2023,Number,Jablanica,7,43
2023,Number,Konjic,7,101
2023,Number,Neum,7,28
2023,Number,Prozor,7,182
2023,Number,Ravno,7,28
2023,Number,Stolac,7,162
2023,Number,West Herzegovina Canton,7,1193
2023,Number,Grude,7,237
2023,Number,Ljubuski,7,377
2023,Number,Posusje,7,248
2023,Number,Siroki Brijeg,7,331
2023,Number,Sarajevo Canton,7,988
2023,Number,Sarajevo-Centar,7,99
2023,Number,Sarajevo-Hadzici,7,79
2023,Number,Sarajevo-Ilidza,7,222
2023,Number,Sarajevo-Ilijas,7,69
2023,Number,Sarajevo-Novi Grad,7,281
2023,Number,Sarajevo-Novo Sarajevo,7,79
2023,Number,Sarajevo-Stari Grad,7,88
2023,Number,Trnovo-FBiH,7,2
2023,Number,Sarajevo-Vogosca,7,69
2023,Number,Canton 10,7,884
2023,Number,Bosansko Grahovo,7,10
2023,Number,Drvar,7,14
2023,Number,Glamoc,7,22
2023,Number,kupres,7,44
2023,Number,Livno,7,368
2023,Number,Tomislavgrad,7,426
2023,Number,Federation of Bosnia and Herzegovina,8+,9278
2023,Number,Una-Sana Canton,8+,2253
2023,Number,Bihac,8+,181
2023,Number,Bosanska Krupa,8+,136
2023,Number,Bosanski Petrovac,8+,15
2023,Number,Buzim,8+,317
2023,Number,Cazin,8+,780
2023,Number,Kljuc,8+,120
2023,Number,Sanski Most,8+,407
2023,Number,Velika Kladusa,8+,297
2023,Number,Posavina Canton,8+,283
2023,Number,Domaljevac-Samac,8+,48
2023,Number,Odzak,8+,140
2023,Number,Orasje,8+,95
2023,Number,Tuzla Canton,8+,872
2023,Number,Banovici,8+,20
2023,Number,Celic,8+,59
2023,Number,Doboj-Istok,8+,13
2023,Number,Gracanica,8+,56
2023,Number,Gradacac,8+,129
2023,Number,Kalesija,8+,108
2023,Number,Kladanj,8+,30
2023,Number,Lukavac,8+,42
2023,Number,Sapna,8+,76
2023,Number,Srebrenik,8+,86
2023,Number,Teocak,8+,49
2023,Number,Tuzla,8+,97
2023,Number,Zivinice,8+,107
2023,Number,Zenica-Doboj Canton,8+,769
2023,Number,Breza,8+,9
2023,Number,Doboj-Jug,8+,5
2023,Number,Kakanj,8+,61
2023,Number,Maglaj,8+,74
2023,Number,Olovo,8+,8
2023,Number,Tesanj,8+,75
2023,Number,Usora,8+,49
2023,Number,Vares,8+,7
2023,Number,Visoko,8+,84
2023,Number,Zavidovici,8+,60
2023,Number,Zenica,8+,165
2023,Number,Zepce,8+,172
2023,Number,Bosnian-Podrinje Canton,8+,27
2023,Number,foca-fbih,8+,3
2023,Number,Gorazde,8+,22
2023,Number,Pale-FBiH,8+,2
2023,Number,Central Bosnia Canton,8+,1074
2023,Number,Bugojno,8+,194
2023,Number,Busovaca,8+,38
2023,Number,Dobretici,8+,16
2023,Number,Donji Vakuf,8+,46
2023,Number,Fojnica,8+,12
2023,Number,Gornji Vakuf-Uskoplje,8+,179
2023,Number,Jajce,8+,206
2023,Number,Kiseljak,8+,36
2023,Number,Kresevo,8+,4
2023,Number,Novi Travnik,8+,93
2023,Number,Travnik,8+,202
2023,Number,Vitez,8+,48
2023,Number,Herzegovina-Neretva Canton,8+,1150
2023,Number,Capljina,8+,132
2023,Number,Citluk,8+,199
2023,Number,Grad Mostar,8+,342
2023,Number,Jablanica,8+,29
2023,Number,Konjic,8+,45
2023,Number,Neum,8+,38
2023,Number,Prozor,8+,188
2023,Number,Ravno,8+,23
2023,Number,Stolac,8+,154
2023,Number,West Herzegovina Canton,8+,1138
2023,Number,Grude,8+,262
2023,Number,Ljubuski,8+,363
2023,Number,Posusje,8+,266
2023,Number,Siroki Brijeg,8+,247
2023,Number,Sarajevo Canton,8+,752
2023,Number,Sarajevo-Centar,8+,69
2023,Number,Sarajevo-Hadzici,8+,53
2023,Number,Sarajevo-Ilidza,8+,186
2023,Number,Sarajevo-Ilijas,8+,50
2023,Number,Sarajevo-Novi Grad,8+,215
2023,Number,Sarajevo-Novo Sarajevo,8+,72
2023,Number,Sarajevo-Stari Grad,8+,55
2023,Number,Trnovo-FBiH,8+,4
2023,Number,Sarajevo-Vogosca,8+,48
2023,Number,Canton 10,8+,960
2023,Number,Bosansko Grahovo,8+,8
2023,Number,Drvar,8+,3
2023,Number,Glamoc,8+,18
2023,Number,kupres,8+,24
2023,Number,Livno,8+,468
2023,Number,Tomislavgrad,8+,439
