Year,UNIT_MEASURE,Administrative area,scientific_field,Value
2016,Number,federation_of_bih,"natural_sciences,_mathematics_and_statistics",
2016,Number,federation_of_bih,Information and communication technologies,
2016,Number,federation_of_bih,"engineering,_production_and_construction",
2016,Number,federation_of_bih,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2016,Number,federation_of_bih,Health and social protection,
2016,Number,federation_of_bih,Services,
2016,Number,una-sana_canton,Education,
2016,Number,una-sana_canton,Arts and humanities,
2016,Number,una-sana_canton,"social_sciences,_journalism_and_information",
2016,Number,una-sana_canton,"business,_administration_and_law",
2016,Number,una-sana_canton,"natural_sciences,_mathematics_and_statistics",
2016,Number,una-sana_canton,Information and communication technologies,
2016,Number,una-sana_canton,"engineering,_production_and_construction",
2016,Number,una-sana_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2016,Number,una-sana_canton,Health and social protection,
2016,Number,una-sana_canton,Services,
2016,Number,tuzla_canton,Education,
2016,Number,tuzla_canton,Arts and humanities,
2016,Number,tuzla_canton,"social_sciences,_journalism_and_information",
2016,Number,tuzla_canton,"business,_administration_and_law",
2016,Number,tuzla_canton,"natural_sciences,_mathematics_and_statistics",
2016,Number,tuzla_canton,Information and communication technologies,
2016,Number,tuzla_canton,"engineering,_production_and_construction",
2016,Number,tuzla_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2016,Number,tuzla_canton,Health and social protection,
2016,Number,tuzla_canton,Services,
2016,Number,zenica-doboj_canton,Education,
2016,Number,zenica-doboj_canton,Arts and humanities,
2016,Number,zenica-doboj_canton,"social_sciences,_journalism_and_information",
2016,Number,zenica-doboj_canton,"business,_administration_and_law",
2016,Number,zenica-doboj_canton,"natural_sciences,_mathematics_and_statistics",
2016,Number,zenica-doboj_canton,Information and communication technologies,
2016,Number,zenica-doboj_canton,"engineering,_production_and_construction",
2016,Number,zenica-doboj_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2016,Number,zenica-doboj_canton,Health and social protection,
2016,Number,zenica-doboj_canton,Services,
2016,Number,bosnian-podrinje_canton,Education,
2016,Number,bosnian-podrinje_canton,Arts and humanities,
2016,Number,bosnian-podrinje_canton,"social_sciences,_journalism_and_information",
2016,Number,bosnian-podrinje_canton,"business,_administration_and_law",
2016,Number,bosnian-podrinje_canton,"natural_sciences,_mathematics_and_statistics",
2016,Number,bosnian-podrinje_canton,Information and communication technologies,
2016,Number,bosnian-podrinje_canton,"engineering,_production_and_construction",
2016,Number,bosnian-podrinje_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2016,Number,bosnian-podrinje_canton,Health and social protection,
2016,Number,bosnian-podrinje_canton,Services,
2016,Number,central_bosnia_canton,Education,
2016,Number,central_bosnia_canton,Arts and humanities,
2016,Number,central_bosnia_canton,"social_sciences,_journalism_and_information",
2016,Number,central_bosnia_canton,"business,_administration_and_law",
2016,Number,central_bosnia_canton,"natural_sciences,_mathematics_and_statistics",
2016,Number,central_bosnia_canton,Information and communication technologies,
2016,Number,central_bosnia_canton,"engineering,_production_and_construction",
2016,Number,central_bosnia_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2016,Number,central_bosnia_canton,Health and social protection,
2016,Number,central_bosnia_canton,Services,
2016,Number,herzegovina-neretva_canton,Education,
2016,Number,herzegovina-neretva_canton,Arts and humanities,
2016,Number,herzegovina-neretva_canton,"social_sciences,_journalism_and_information",
2016,Number,herzegovina-neretva_canton,"business,_administration_and_law",
2016,Number,herzegovina-neretva_canton,"natural_sciences,_mathematics_and_statistics",
2016,Number,herzegovina-neretva_canton,Information and communication technologies,
2016,Number,herzegovina-neretva_canton,"engineering,_production_and_construction",
2016,Number,herzegovina-neretva_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2016,Number,herzegovina-neretva_canton,Health and social protection,
2016,Number,herzegovina-neretva_canton,Services,
2016,Number,sarajevo_canton,Education,
2016,Number,sarajevo_canton,Arts and humanities,
2016,Number,sarajevo_canton,"social_sciences,_journalism_and_information",
2016,Number,sarajevo_canton,"business,_administration_and_law",
2016,Number,sarajevo_canton,"natural_sciences,_mathematics_and_statistics",
2016,Number,sarajevo_canton,Information and communication technologies,
2016,Number,sarajevo_canton,"engineering,_production_and_construction",
2016,Number,sarajevo_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2016,Number,sarajevo_canton,Health and social protection,
2016,Number,sarajevo_canton,Services,
2017,Number,federation_of_bih,Education,
2017,Number,federation_of_bih,Arts and humanities,
2017,Number,federation_of_bih,"social_sciences,_journalism_and_information",
2017,Number,federation_of_bih,"business,_administration_and_law",
2017,Number,federation_of_bih,"natural_sciences,_mathematics_and_statistics",
2017,Number,federation_of_bih,Information and communication technologies,
2017,Number,federation_of_bih,"engineering,_production_and_construction",
2017,Number,federation_of_bih,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2017,Number,federation_of_bih,Health and social protection,
2017,Number,federation_of_bih,Services,
2017,Number,una-sana_canton,Education,
2017,Number,una-sana_canton,Arts and humanities,
2017,Number,una-sana_canton,"social_sciences,_journalism_and_information",
2017,Number,una-sana_canton,"business,_administration_and_law",
2017,Number,una-sana_canton,"natural_sciences,_mathematics_and_statistics",
2017,Number,una-sana_canton,Information and communication technologies,
2017,Number,una-sana_canton,"engineering,_production_and_construction",
2017,Number,una-sana_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2017,Number,una-sana_canton,Health and social protection,
2017,Number,una-sana_canton,Services,
2017,Number,tuzla_canton,Education,
2017,Number,tuzla_canton,Arts and humanities,
2017,Number,tuzla_canton,"social_sciences,_journalism_and_information",
2017,Number,tuzla_canton,"business,_administration_and_law",
2017,Number,tuzla_canton,"natural_sciences,_mathematics_and_statistics",
2017,Number,tuzla_canton,Information and communication technologies,
2017,Number,tuzla_canton,"engineering,_production_and_construction",
2017,Number,tuzla_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2017,Number,tuzla_canton,Health and social protection,
2017,Number,tuzla_canton,Services,
2017,Number,zenica-doboj_canton,Education,
2017,Number,zenica-doboj_canton,Arts and humanities,
2017,Number,zenica-doboj_canton,"social_sciences,_journalism_and_information",
2017,Number,zenica-doboj_canton,"business,_administration_and_law",
2017,Number,zenica-doboj_canton,"natural_sciences,_mathematics_and_statistics",
2017,Number,zenica-doboj_canton,Information and communication technologies,
2017,Number,zenica-doboj_canton,"engineering,_production_and_construction",
2017,Number,zenica-doboj_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2017,Number,zenica-doboj_canton,Health and social protection,
2017,Number,zenica-doboj_canton,Services,
2017,Number,bosnian-podrinje_canton,Education,
2017,Number,bosnian-podrinje_canton,Arts and humanities,
2017,Number,bosnian-podrinje_canton,"social_sciences,_journalism_and_information",
2017,Number,bosnian-podrinje_canton,"business,_administration_and_law",
2017,Number,bosnian-podrinje_canton,"natural_sciences,_mathematics_and_statistics",
2017,Number,bosnian-podrinje_canton,Information and communication technologies,
2017,Number,bosnian-podrinje_canton,"engineering,_production_and_construction",
2017,Number,bosnian-podrinje_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2017,Number,bosnian-podrinje_canton,Health and social protection,
2017,Number,bosnian-podrinje_canton,Services,
2017,Number,central_bosnia_canton,Education,
2017,Number,central_bosnia_canton,Arts and humanities,
2017,Number,central_bosnia_canton,"social_sciences,_journalism_and_information",
2017,Number,central_bosnia_canton,"business,_administration_and_law",
2017,Number,central_bosnia_canton,"natural_sciences,_mathematics_and_statistics",
2017,Number,central_bosnia_canton,Information and communication technologies,
2017,Number,central_bosnia_canton,"engineering,_production_and_construction",
2017,Number,central_bosnia_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2017,Number,central_bosnia_canton,Health and social protection,
2017,Number,central_bosnia_canton,Services,
2017,Number,herzegovina-neretva_canton,Education,
2017,Number,herzegovina-neretva_canton,Arts and humanities,
2017,Number,herzegovina-neretva_canton,"social_sciences,_journalism_and_information",
2017,Number,herzegovina-neretva_canton,"business,_administration_and_law",
2017,Number,herzegovina-neretva_canton,"natural_sciences,_mathematics_and_statistics",
2017,Number,herzegovina-neretva_canton,Information and communication technologies,
2017,Number,herzegovina-neretva_canton,"engineering,_production_and_construction",
2017,Number,herzegovina-neretva_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2017,Number,herzegovina-neretva_canton,Health and social protection,
2017,Number,herzegovina-neretva_canton,Services,
2017,Number,sarajevo_canton,Education,
2017,Number,sarajevo_canton,Arts and humanities,
2017,Number,sarajevo_canton,"social_sciences,_journalism_and_information",
2017,Number,sarajevo_canton,"business,_administration_and_law",
2017,Number,sarajevo_canton,"natural_sciences,_mathematics_and_statistics",
2017,Number,sarajevo_canton,Information and communication technologies,
2017,Number,sarajevo_canton,"engineering,_production_and_construction",
2017,Number,sarajevo_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2017,Number,sarajevo_canton,Health and social protection,
2017,Number,sarajevo_canton,Services,
2018,Number,federation_of_bih,Education,
2018,Number,federation_of_bih,Arts and humanities,
2018,Number,federation_of_bih,"social_sciences,_journalism_and_information",
2018,Number,federation_of_bih,"business,_administration_and_law",
2018,Number,federation_of_bih,"natural_sciences,_mathematics_and_statistics",
2018,Number,federation_of_bih,Information and communication technologies,
2018,Number,federation_of_bih,"engineering,_production_and_construction",
2018,Number,federation_of_bih,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2018,Number,federation_of_bih,Health and social protection,
2018,Number,federation_of_bih,Services,
2018,Number,una-sana_canton,Education,
2018,Number,una-sana_canton,Arts and humanities,
2018,Number,una-sana_canton,"social_sciences,_journalism_and_information",
2018,Number,una-sana_canton,"business,_administration_and_law",
2018,Number,una-sana_canton,"natural_sciences,_mathematics_and_statistics",
2018,Number,una-sana_canton,Information and communication technologies,
2018,Number,una-sana_canton,"engineering,_production_and_construction",
2018,Number,una-sana_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2018,Number,una-sana_canton,Health and social protection,
2018,Number,una-sana_canton,Services,
2018,Number,tuzla_canton,Education,
2018,Number,tuzla_canton,Arts and humanities,
2018,Number,tuzla_canton,"social_sciences,_journalism_and_information",
2018,Number,tuzla_canton,"business,_administration_and_law",
2018,Number,tuzla_canton,"natural_sciences,_mathematics_and_statistics",
2018,Number,tuzla_canton,Information and communication technologies,
2018,Number,tuzla_canton,"engineering,_production_and_construction",
2018,Number,tuzla_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2018,Number,tuzla_canton,Health and social protection,
2018,Number,tuzla_canton,Services,
2018,Number,zenica-doboj_canton,Education,
2018,Number,zenica-doboj_canton,Arts and humanities,
2018,Number,zenica-doboj_canton,"social_sciences,_journalism_and_information",
2018,Number,zenica-doboj_canton,"business,_administration_and_law",
2018,Number,zenica-doboj_canton,"natural_sciences,_mathematics_and_statistics",
2018,Number,zenica-doboj_canton,Information and communication technologies,
2018,Number,zenica-doboj_canton,"engineering,_production_and_construction",
2018,Number,zenica-doboj_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2018,Number,zenica-doboj_canton,Health and social protection,
2018,Number,zenica-doboj_canton,Services,
2018,Number,bosnian-podrinje_canton,Education,
2018,Number,bosnian-podrinje_canton,Arts and humanities,
2018,Number,bosnian-podrinje_canton,"social_sciences,_journalism_and_information",
2018,Number,bosnian-podrinje_canton,"business,_administration_and_law",
2018,Number,bosnian-podrinje_canton,"natural_sciences,_mathematics_and_statistics",
2018,Number,bosnian-podrinje_canton,Information and communication technologies,
2018,Number,bosnian-podrinje_canton,"engineering,_production_and_construction",
2018,Number,bosnian-podrinje_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2018,Number,bosnian-podrinje_canton,Health and social protection,
2018,Number,bosnian-podrinje_canton,Services,
2018,Number,central_bosnia_canton,Education,
2018,Number,central_bosnia_canton,Arts and humanities,
2018,Number,central_bosnia_canton,"social_sciences,_journalism_and_information",
2018,Number,central_bosnia_canton,"business,_administration_and_law",
2018,Number,central_bosnia_canton,"natural_sciences,_mathematics_and_statistics",
2018,Number,central_bosnia_canton,Information and communication technologies,
2018,Number,central_bosnia_canton,"engineering,_production_and_construction",
2018,Number,central_bosnia_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2018,Number,central_bosnia_canton,Health and social protection,
2018,Number,central_bosnia_canton,Services,
2018,Number,herzegovina-neretva_canton,Education,
2018,Number,herzegovina-neretva_canton,Arts and humanities,
2018,Number,herzegovina-neretva_canton,"social_sciences,_journalism_and_information",
2018,Number,herzegovina-neretva_canton,"business,_administration_and_law",
2018,Number,herzegovina-neretva_canton,"natural_sciences,_mathematics_and_statistics",
2018,Number,herzegovina-neretva_canton,Information and communication technologies,
2018,Number,herzegovina-neretva_canton,"engineering,_production_and_construction",
2018,Number,herzegovina-neretva_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2018,Number,herzegovina-neretva_canton,Health and social protection,
2018,Number,herzegovina-neretva_canton,Services,
2018,Number,sarajevo_canton,Education,
2018,Number,sarajevo_canton,Arts and humanities,
2018,Number,sarajevo_canton,"social_sciences,_journalism_and_information",
2018,Number,sarajevo_canton,"business,_administration_and_law",
2018,Number,sarajevo_canton,"natural_sciences,_mathematics_and_statistics",
2018,Number,sarajevo_canton,Information and communication technologies,
2018,Number,sarajevo_canton,"engineering,_production_and_construction",
2018,Number,sarajevo_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2018,Number,sarajevo_canton,Health and social protection,
2018,Number,sarajevo_canton,Services,
2019,Number,federation_of_bih,Education,
2019,Number,federation_of_bih,Arts and humanities,
2019,Number,federation_of_bih,"social_sciences,_journalism_and_information",
2019,Number,federation_of_bih,"business,_administration_and_law",
2019,Number,federation_of_bih,"natural_sciences,_mathematics_and_statistics",
2019,Number,federation_of_bih,Information and communication technologies,
2019,Number,federation_of_bih,"engineering,_production_and_construction",
2019,Number,federation_of_bih,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2019,Number,federation_of_bih,Health and social protection,
2019,Number,federation_of_bih,Services,
2019,Number,una-sana_canton,Education,
2019,Number,una-sana_canton,Arts and humanities,
2019,Number,una-sana_canton,"social_sciences,_journalism_and_information",
2019,Number,una-sana_canton,"business,_administration_and_law",
2019,Number,una-sana_canton,"natural_sciences,_mathematics_and_statistics",
2019,Number,una-sana_canton,Information and communication technologies,
2019,Number,una-sana_canton,"engineering,_production_and_construction",
2019,Number,una-sana_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2019,Number,una-sana_canton,Health and social protection,
2019,Number,una-sana_canton,Services,
2019,Number,tuzla_canton,Education,
2019,Number,tuzla_canton,Arts and humanities,
2019,Number,tuzla_canton,"social_sciences,_journalism_and_information",
2019,Number,tuzla_canton,"business,_administration_and_law",
2019,Number,tuzla_canton,"natural_sciences,_mathematics_and_statistics",
2019,Number,tuzla_canton,Information and communication technologies,
2019,Number,tuzla_canton,"engineering,_production_and_construction",
2019,Number,tuzla_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2019,Number,tuzla_canton,Health and social protection,
2019,Number,tuzla_canton,Services,
2019,Number,zenica-doboj_canton,Education,
2019,Number,zenica-doboj_canton,Arts and humanities,
2019,Number,zenica-doboj_canton,"social_sciences,_journalism_and_information",
2019,Number,zenica-doboj_canton,"business,_administration_and_law",
2019,Number,zenica-doboj_canton,"natural_sciences,_mathematics_and_statistics",
2019,Number,zenica-doboj_canton,Information and communication technologies,
2019,Number,zenica-doboj_canton,"engineering,_production_and_construction",
2019,Number,zenica-doboj_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2019,Number,zenica-doboj_canton,Health and social protection,
2019,Number,zenica-doboj_canton,Services,
2019,Number,bosnian-podrinje_canton,Education,
2019,Number,bosnian-podrinje_canton,Arts and humanities,
2019,Number,bosnian-podrinje_canton,"social_sciences,_journalism_and_information",
2019,Number,bosnian-podrinje_canton,"business,_administration_and_law",
2019,Number,bosnian-podrinje_canton,"natural_sciences,_mathematics_and_statistics",
2019,Number,bosnian-podrinje_canton,Information and communication technologies,
2019,Number,bosnian-podrinje_canton,"engineering,_production_and_construction",
2019,Number,bosnian-podrinje_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2019,Number,bosnian-podrinje_canton,Health and social protection,
2019,Number,bosnian-podrinje_canton,Services,
2019,Number,central_bosnia_canton,Education,
2019,Number,central_bosnia_canton,Arts and humanities,
2019,Number,central_bosnia_canton,"social_sciences,_journalism_and_information",
2019,Number,central_bosnia_canton,"business,_administration_and_law",
2019,Number,central_bosnia_canton,"natural_sciences,_mathematics_and_statistics",
2019,Number,central_bosnia_canton,Information and communication technologies,
2019,Number,central_bosnia_canton,"engineering,_production_and_construction",
2019,Number,central_bosnia_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2019,Number,central_bosnia_canton,Health and social protection,
2019,Number,central_bosnia_canton,Services,
2019,Number,herzegovina-neretva_canton,Education,
2019,Number,herzegovina-neretva_canton,Arts and humanities,
2019,Number,herzegovina-neretva_canton,"social_sciences,_journalism_and_information",
2019,Number,herzegovina-neretva_canton,"business,_administration_and_law",
2019,Number,herzegovina-neretva_canton,"natural_sciences,_mathematics_and_statistics",
2019,Number,herzegovina-neretva_canton,Information and communication technologies,
2019,Number,herzegovina-neretva_canton,"engineering,_production_and_construction",
2019,Number,herzegovina-neretva_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2019,Number,herzegovina-neretva_canton,Health and social protection,
2019,Number,herzegovina-neretva_canton,Services,
2019,Number,sarajevo_canton,Education,
2019,Number,sarajevo_canton,Arts and humanities,
2019,Number,sarajevo_canton,"social_sciences,_journalism_and_information",
2019,Number,sarajevo_canton,"business,_administration_and_law",
2019,Number,sarajevo_canton,"natural_sciences,_mathematics_and_statistics",
2019,Number,sarajevo_canton,Information and communication technologies,
2019,Number,sarajevo_canton,"engineering,_production_and_construction",
2019,Number,sarajevo_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2019,Number,sarajevo_canton,Health and social protection,
2019,Number,sarajevo_canton,Services,
2020,Number,federation_of_bih,Education,
2020,Number,federation_of_bih,Arts and humanities,
2020,Number,federation_of_bih,"social_sciences,_journalism_and_information",
2020,Number,federation_of_bih,"business,_administration_and_law",
2020,Number,federation_of_bih,"natural_sciences,_mathematics_and_statistics",
2020,Number,federation_of_bih,Information and communication technologies,
2020,Number,federation_of_bih,"engineering,_production_and_construction",
2020,Number,federation_of_bih,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2020,Number,federation_of_bih,Health and social protection,
2020,Number,federation_of_bih,Services,
2020,Number,una-sana_canton,Education,
2020,Number,una-sana_canton,Arts and humanities,
2020,Number,una-sana_canton,"social_sciences,_journalism_and_information",
2020,Number,una-sana_canton,"business,_administration_and_law",
2020,Number,una-sana_canton,"natural_sciences,_mathematics_and_statistics",
2020,Number,una-sana_canton,Information and communication technologies,
2020,Number,una-sana_canton,"engineering,_production_and_construction",
2020,Number,una-sana_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2020,Number,una-sana_canton,Health and social protection,
2020,Number,una-sana_canton,Services,
2020,Number,tuzla_canton,Education,
2020,Number,tuzla_canton,Arts and humanities,
2020,Number,tuzla_canton,"social_sciences,_journalism_and_information",
2020,Number,tuzla_canton,"business,_administration_and_law",
2020,Number,tuzla_canton,"natural_sciences,_mathematics_and_statistics",
2020,Number,tuzla_canton,Information and communication technologies,
2020,Number,tuzla_canton,"engineering,_production_and_construction",
2020,Number,tuzla_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2020,Number,tuzla_canton,Health and social protection,
2020,Number,tuzla_canton,Services,
2020,Number,zenica-doboj_canton,Education,
2020,Number,zenica-doboj_canton,Arts and humanities,
2020,Number,zenica-doboj_canton,"social_sciences,_journalism_and_information",
2020,Number,zenica-doboj_canton,"business,_administration_and_law",
2020,Number,zenica-doboj_canton,"natural_sciences,_mathematics_and_statistics",
2020,Number,zenica-doboj_canton,Information and communication technologies,
2020,Number,zenica-doboj_canton,"engineering,_production_and_construction",
2020,Number,zenica-doboj_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2020,Number,zenica-doboj_canton,Health and social protection,
2020,Number,zenica-doboj_canton,Services,
2020,Number,bosnian-podrinje_canton,Education,
2020,Number,bosnian-podrinje_canton,Arts and humanities,
2020,Number,bosnian-podrinje_canton,"social_sciences,_journalism_and_information",
2020,Number,bosnian-podrinje_canton,"business,_administration_and_law",
2020,Number,bosnian-podrinje_canton,"natural_sciences,_mathematics_and_statistics",
2020,Number,bosnian-podrinje_canton,Information and communication technologies,
2020,Number,bosnian-podrinje_canton,"engineering,_production_and_construction",
2020,Number,bosnian-podrinje_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2020,Number,bosnian-podrinje_canton,Health and social protection,
2020,Number,bosnian-podrinje_canton,Services,
2020,Number,central_bosnia_canton,Education,
2020,Number,central_bosnia_canton,Arts and humanities,
2020,Number,central_bosnia_canton,"social_sciences,_journalism_and_information",
2020,Number,central_bosnia_canton,"business,_administration_and_law",
2020,Number,central_bosnia_canton,"natural_sciences,_mathematics_and_statistics",
2020,Number,central_bosnia_canton,Information and communication technologies,
2020,Number,central_bosnia_canton,"engineering,_production_and_construction",
2020,Number,central_bosnia_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2020,Number,central_bosnia_canton,Health and social protection,
2020,Number,central_bosnia_canton,Services,
2020,Number,herzegovina-neretva_canton,Education,
2020,Number,herzegovina-neretva_canton,Arts and humanities,
2020,Number,herzegovina-neretva_canton,"social_sciences,_journalism_and_information",
2020,Number,herzegovina-neretva_canton,"business,_administration_and_law",
2020,Number,herzegovina-neretva_canton,"natural_sciences,_mathematics_and_statistics",
2020,Number,herzegovina-neretva_canton,Information and communication technologies,
2020,Number,herzegovina-neretva_canton,"engineering,_production_and_construction",
2020,Number,herzegovina-neretva_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2020,Number,herzegovina-neretva_canton,Health and social protection,
2020,Number,herzegovina-neretva_canton,Services,
2020,Number,sarajevo_canton,Education,
2020,Number,sarajevo_canton,Arts and humanities,
2020,Number,sarajevo_canton,"social_sciences,_journalism_and_information",
2020,Number,sarajevo_canton,"business,_administration_and_law",
2020,Number,sarajevo_canton,"natural_sciences,_mathematics_and_statistics",
2020,Number,sarajevo_canton,Information and communication technologies,
2020,Number,sarajevo_canton,"engineering,_production_and_construction",
2020,Number,sarajevo_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2020,Number,sarajevo_canton,Health and social protection,
2020,Number,sarajevo_canton,Services,
