Year,UNIT_MEASURE,Пол,Административна јединица,Витална статистика,Value
2014,Број,Ж,Унско-сански кантон,Умрли,
2014,Број,Ж,Посавски кантон,Умрли,
2014,Број,Ж,Тузлански кантон,Умрли,
2014,Број,Ж,Зеничко-добојски кантон,Умрли,
2014,Број,Ж,Босанско-подрињски кантон,Умрли,
2014,Број,Ж,Средњобосански кантон,Умрли,
2014,Број,Ж,Херцеговачко-неретвански кантон,Умрли,
2014,Број,Ж,Западнохерцеговчки кантон,Умрли,
2014,Број,Ж,Кантон Сарајево,Умрли,
2014,Број,Ж,Кантон 10,Умрли,
2015,Број,Оба пола,Федерација Босне и Херцеговине,Умрли,21474.0
2015,Број,Оба пола,Унско-сански кантон,Умрли,
2015,Број,Оба пола,Посавски кантон,Умрли,
2015,Број,Оба пола,Тузлански кантон,Умрли,
2015,Број,Оба пола,Зеничко-добојски кантон,Умрли,
2015,Број,Оба пола,Босанско-подрињски кантон,Умрли,
2015,Број,Оба пола,Средњобосански кантон,Умрли,
2015,Број,Оба пола,Херцеговачко-неретвански кантон,Умрли,
2015,Број,Оба пола,Западнохерцеговчки кантон,Умрли,
2015,Број,Оба пола,Кантон Сарајево,Умрли,
2015,Број,Оба пола,Кантон 10,Умрли,
2015,Број,M,Федерација Босне и Херцеговине,Умрли,10722.0
2015,Број,M,Унско-сански кантон,Умрли,
2015,Број,M,Посавски кантон,Умрли,
2015,Број,M,Тузлански кантон,Умрли,
2015,Број,M,Зеничко-добојски кантон,Умрли,
2015,Број,M,Босанско-подрињски кантон,Умрли,
2015,Број,M,Средњобосански кантон,Умрли,
2015,Број,M,Херцеговачко-неретвански кантон,Умрли,
2015,Број,M,Западнохерцеговчки кантон,Умрли,
2015,Број,M,Кантон Сарајево,Умрли,
2015,Број,M,Кантон 10,Умрли,
2015,Број,Ж,Федерација Босне и Херцеговине,Умрли,10752.0
2015,Број,Ж,Унско-сански кантон,Умрли,
2015,Број,Ж,Посавски кантон,Умрли,
2015,Број,Ж,Тузлански кантон,Умрли,
2015,Број,Ж,Зеничко-добојски кантон,Умрли,
2015,Број,Ж,Босанско-подрињски кантон,Умрли,
2015,Број,Ж,Средњобосански кантон,Умрли,
2015,Број,Ж,Херцеговачко-неретвански кантон,Умрли,
2015,Број,Ж,Западнохерцеговчки кантон,Умрли,
2015,Број,Ж,Кантон Сарајево,Умрли,
2015,Број,Ж,Кантон 10,Умрли,
2016,Број,Оба пола,Федерација Босне и Херцеговине,Умрли,21105.0
2016,Број,Оба пола,Унско-сански кантон,Умрли,
2016,Број,Оба пола,Посавски кантон,Умрли,
2016,Број,Оба пола,Тузлански кантон,Умрли,
2016,Број,Оба пола,Зеничко-добојски кантон,Умрли,
2016,Број,Оба пола,Босанско-подрињски кантон,Умрли,
2016,Број,Оба пола,Средњобосански кантон,Умрли,
2016,Број,Оба пола,Херцеговачко-неретвански кантон,Умрли,
2016,Број,Оба пола,Западнохерцеговчки кантон,Умрли,
2016,Број,Оба пола,Кантон Сарајево,Умрли,
2016,Број,Оба пола,Кантон 10,Умрли,
2016,Број,M,Федерација Босне и Херцеговине,Умрли,10538.0
2016,Број,M,Унско-сански кантон,Умрли,
2016,Број,M,Посавски кантон,Умрли,
2016,Број,M,Тузлански кантон,Умрли,
2016,Број,M,Зеничко-добојски кантон,Умрли,
2016,Број,M,Босанско-подрињски кантон,Умрли,
2016,Број,M,Средњобосански кантон,Умрли,
2016,Број,M,Херцеговачко-неретвански кантон,Умрли,
2016,Број,M,Западнохерцеговчки кантон,Умрли,
2016,Број,M,Кантон Сарајево,Умрли,
2016,Број,M,Кантон 10,Умрли,
2016,Број,Ж,Федерација Босне и Херцеговине,Умрли,10567.0
2016,Број,Ж,Унско-сански кантон,Умрли,
2016,Број,Ж,Посавски кантон,Умрли,
2016,Број,Ж,Тузлански кантон,Умрли,
2016,Број,Ж,Зеничко-добојски кантон,Умрли,
2016,Број,Ж,Босанско-подрињски кантон,Умрли,
2016,Број,Ж,Средњобосански кантон,Умрли,
2016,Број,Ж,Херцеговачко-неретвански кантон,Умрли,
2016,Број,Ж,Западнохерцеговчки кантон,Умрли,
2016,Број,Ж,Кантон Сарајево,Умрли,
2016,Број,Ж,Кантон 10,Умрли,
2017,Број,Оба пола,Федерација Босне и Херцеговине,Умрли,21689.0
2017,Број,Оба пола,Унско-сански кантон,Умрли,
2017,Број,Оба пола,Посавски кантон,Умрли,
2017,Број,Оба пола,Тузлански кантон,Умрли,
2017,Број,Оба пола,Зеничко-добојски кантон,Умрли,
2017,Број,Оба пола,Босанско-подрињски кантон,Умрли,
2017,Број,Оба пола,Средњобосански кантон,Умрли,
2017,Број,Оба пола,Херцеговачко-неретвански кантон,Умрли,
2017,Број,Оба пола,Западнохерцеговчки кантон,Умрли,
2017,Број,Оба пола,Кантон Сарајево,Умрли,
2017,Број,Оба пола,Кантон 10,Умрли,
2017,Број,M,Федерација Босне и Херцеговине,Умрли,10979.0
2017,Број,M,Унско-сански кантон,Умрли,
2017,Број,M,Посавски кантон,Умрли,
2017,Број,M,Тузлански кантон,Умрли,
2017,Број,M,Зеничко-добојски кантон,Умрли,
2017,Број,M,Босанско-подрињски кантон,Умрли,
2017,Број,M,Средњобосански кантон,Умрли,
2017,Број,M,Херцеговачко-неретвански кантон,Умрли,
2017,Број,M,Западнохерцеговчки кантон,Умрли,
2017,Број,M,Кантон Сарајево,Умрли,
2017,Број,M,Кантон 10,Умрли,
2017,Број,Ж,Федерација Босне и Херцеговине,Умрли,10710.0
2017,Број,Ж,Унско-сански кантон,Умрли,
2017,Број,Ж,Посавски кантон,Умрли,
2017,Број,Ж,Тузлански кантон,Умрли,
2017,Број,Ж,Зеничко-добојски кантон,Умрли,
2017,Број,Ж,Босанско-подрињски кантон,Умрли,
2017,Број,Ж,Средњобосански кантон,Умрли,
2017,Број,Ж,Херцеговачко-неретвански кантон,Умрли,
2017,Број,Ж,Западнохерцеговчки кантон,Умрли,
2017,Број,Ж,Кантон Сарајево,Умрли,
2017,Број,Ж,Кантон 10,Умрли,
2018,Број,Оба пола,Федерација Босне и Херцеговине,Умрли,21442.0
2018,Број,Оба пола,Унско-сански кантон,Умрли,
2018,Број,Оба пола,Посавски кантон,Умрли,
2018,Број,Оба пола,Тузлански кантон,Умрли,
2018,Број,Оба пола,Зеничко-добојски кантон,Умрли,
2018,Број,Оба пола,Босанско-подрињски кантон,Умрли,
2018,Број,Оба пола,Средњобосански кантон,Умрли,
2018,Број,Оба пола,Херцеговачко-неретвански кантон,Умрли,
2018,Број,Оба пола,Западнохерцеговчки кантон,Умрли,
2018,Број,Оба пола,Кантон Сарајево,Умрли,
2018,Број,Оба пола,Кантон 10,Умрли,
2018,Број,M,Федерација Босне и Херцеговине,Умрли,10756.0
2018,Број,M,Унско-сански кантон,Умрли,
2018,Број,M,Посавски кантон,Умрли,
2018,Број,M,Тузлански кантон,Умрли,
2018,Број,M,Зеничко-добојски кантон,Умрли,
2018,Број,M,Босанско-подрињски кантон,Умрли,
2018,Број,M,Средњобосански кантон,Умрли,
2018,Број,M,Херцеговачко-неретвански кантон,Умрли,
2018,Број,M,Западнохерцеговчки кантон,Умрли,
2018,Број,M,Кантон Сарајево,Умрли,
2018,Број,M,Кантон 10,Умрли,
2018,Број,Ж,Федерација Босне и Херцеговине,Умрли,10686.0
2018,Број,Ж,Унско-сански кантон,Умрли,
2018,Број,Ж,Посавски кантон,Умрли,
2018,Број,Ж,Тузлански кантон,Умрли,
2018,Број,Ж,Зеничко-добојски кантон,Умрли,
2018,Број,Ж,Босанско-подрињски кантон,Умрли,
2018,Број,Ж,Средњобосански кантон,Умрли,
2018,Број,Ж,Херцеговачко-неретвански кантон,Умрли,
2018,Број,Ж,Западнохерцеговчки кантон,Умрли,
2018,Број,Ж,Кантон Сарајево,Умрли,
2018,Број,Ж,Кантон 10,Умрли,
2019,Број,Оба пола,Федерација Босне и Херцеговине,Умрли,22024.0
2019,Број,Оба пола,Унско-сански кантон,Умрли,
2019,Број,Оба пола,Посавски кантон,Умрли,
2019,Број,Оба пола,Тузлански кантон,Умрли,
2019,Број,Оба пола,Зеничко-добојски кантон,Умрли,
2019,Број,Оба пола,Босанско-подрињски кантон,Умрли,
2019,Број,Оба пола,Средњобосански кантон,Умрли,
2019,Број,Оба пола,Херцеговачко-неретвански кантон,Умрли,
2019,Број,Оба пола,Западнохерцеговчки кантон,Умрли,
2019,Број,Оба пола,Кантон Сарајево,Умрли,
2019,Број,Оба пола,Кантон 10,Умрли,
2019,Број,M,Федерација Босне и Херцеговине,Умрли,11140.0
2019,Број,M,Унско-сански кантон,Умрли,
2019,Број,M,Посавски кантон,Умрли,
2019,Број,M,Тузлански кантон,Умрли,
2019,Број,M,Зеничко-добојски кантон,Умрли,
2019,Број,M,Босанско-подрињски кантон,Умрли,
2019,Број,M,Средњобосански кантон,Умрли,
2019,Број,M,Херцеговачко-неретвански кантон,Умрли,
2019,Број,M,Западнохерцеговчки кантон,Умрли,
2019,Број,M,Кантон Сарајево,Умрли,
2019,Број,M,Кантон 10,Умрли,
2019,Број,Ж,Федерација Босне и Херцеговине,Умрли,10884.0
2019,Број,Ж,Унско-сански кантон,Умрли,
2019,Број,Ж,Посавски кантон,Умрли,
2019,Број,Ж,Тузлански кантон,Умрли,
2019,Број,Ж,Зеничко-добојски кантон,Умрли,
2019,Број,Ж,Босанско-подрињски кантон,Умрли,
2019,Број,Ж,Средњобосански кантон,Умрли,
2019,Број,Ж,Херцеговачко-неретвански кантон,Умрли,
2019,Број,Ж,Западнохерцеговчки кантон,Умрли,
2019,Број,Ж,Кантон Сарајево,Умрли,
2019,Број,Ж,Кантон 10,Умрли,
2020,Број,Оба пола,Федерација Босне и Херцеговине,Умрли,
2020,Број,Оба пола,Унско-сански кантон,Умрли,
2020,Број,Оба пола,Посавски кантон,Умрли,
2020,Број,Оба пола,Тузлански кантон,Умрли,
2020,Број,Оба пола,Зеничко-добојски кантон,Умрли,
2020,Број,Оба пола,Босанско-подрињски кантон,Умрли,
2020,Број,Оба пола,Средњобосански кантон,Умрли,
2020,Број,Оба пола,Херцеговачко-неретвански кантон,Умрли,
2020,Број,Оба пола,Западнохерцеговчки кантон,Умрли,
2020,Број,Оба пола,Кантон Сарајево,Умрли,
2020,Број,Оба пола,Кантон 10,Умрли,
2020,Број,M,Федерација Босне и Херцеговине,Умрли,
2020,Број,M,Унско-сански кантон,Умрли,
2020,Број,M,Посавски кантон,Умрли,
2020,Број,M,Тузлански кантон,Умрли,
2020,Број,M,Зеничко-добојски кантон,Умрли,
2020,Број,M,Босанско-подрињски кантон,Умрли,
2020,Број,M,Средњобосански кантон,Умрли,
2020,Број,M,Херцеговачко-неретвански кантон,Умрли,
2020,Број,M,Западнохерцеговчки кантон,Умрли,
2020,Број,M,Кантон Сарајево,Умрли,
2020,Број,M,Кантон 10,Умрли,
2020,Број,Ж,Федерација Босне и Херцеговине,Умрли,
2020,Број,Ж,Унско-сански кантон,Умрли,
2020,Број,Ж,Посавски кантон,Умрли,
2020,Број,Ж,Тузлански кантон,Умрли,
2020,Број,Ж,Зеничко-добојски кантон,Умрли,
2020,Број,Ж,Босанско-подрињски кантон,Умрли,
2020,Број,Ж,Средњобосански кантон,Умрли,
2020,Број,Ж,Херцеговачко-неретвански кантон,Умрли,
2020,Број,Ж,Западнохерцеговчки кантон,Умрли,
2020,Број,Ж,Кантон Сарајево,Умрли,
2020,Број,Ж,Кантон 10,Умрли,
2011,Број,Оба пола,Федерација Босне и Херцеговине,Природни прираштај,1249.0
2011,Број,Оба пола,Унско-сански кантон,Природни прираштај,
2011,Број,Оба пола,Посавски кантон,Природни прираштај,
2011,Број,Оба пола,Тузлански кантон,Природни прираштај,
2011,Број,Оба пола,Зеничко-добојски кантон,Природни прираштај,
2011,Број,Оба пола,Босанско-подрињски кантон,Природни прираштај,
2011,Број,Оба пола,Средњобосански кантон,Природни прираштај,
2011,Број,Оба пола,Херцеговачко-неретвански кантон,Природни прираштај,
2011,Број,Оба пола,Западнохерцеговчки кантон,Природни прираштај,
2011,Број,Оба пола,Кантон Сарајево,Природни прираштај,
2011,Број,Оба пола,Кантон 10,Природни прираштај,
2012,Број,Оба пола,Федерација Босне и Херцеговине,Природни прираштај,851.0
2012,Број,Оба пола,Унско-сански кантон,Природни прираштај,
2012,Број,Оба пола,Посавски кантон,Природни прираштај,
2012,Број,Оба пола,Тузлански кантон,Природни прираштај,
2012,Број,Оба пола,Зеничко-добојски кантон,Природни прираштај,
2012,Број,Оба пола,Босанско-подрињски кантон,Природни прираштај,
2012,Број,Оба пола,Средњобосански кантон,Природни прираштај,
2012,Број,Оба пола,Херцеговачко-неретвански кантон,Природни прираштај,
2012,Број,Оба пола,Западнохерцеговчки кантон,Природни прираштај,
2012,Број,Оба пола,Кантон Сарајево,Природни прираштај,
2012,Број,Оба пола,Кантон 10,Природни прираштај,
2013,Број,Оба пола,Федерација Босне и Херцеговине,Природни прираштај,-124.0
2013,Број,Оба пола,Унско-сански кантон,Природни прираштај,
2013,Број,Оба пола,Посавски кантон,Природни прираштај,
2013,Број,Оба пола,Тузлански кантон,Природни прираштај,
2013,Број,Оба пола,Зеничко-добојски кантон,Природни прираштај,
2013,Број,Оба пола,Босанско-подрињски кантон,Природни прираштај,
2013,Број,Оба пола,Средњобосански кантон,Природни прираштај,
2013,Број,Оба пола,Херцеговачко-неретвански кантон,Природни прираштај,
2013,Број,Оба пола,Западнохерцеговчки кантон,Природни прираштај,
2013,Број,Оба пола,Кантон Сарајево,Природни прираштај,
2013,Број,Оба пола,Кантон 10,Природни прираштај,
2014,Број,Оба пола,Федерација Босне и Херцеговине,Природни прираштај,-150.0
2014,Број,Оба пола,Унско-сански кантон,Природни прираштај,
2014,Број,Оба пола,Посавски кантон,Природни прираштај,
2014,Број,Оба пола,Тузлански кантон,Природни прираштај,
2014,Број,Оба пола,Зеничко-добојски кантон,Природни прираштај,
2014,Број,Оба пола,Босанско-подрињски кантон,Природни прираштај,
2014,Број,Оба пола,Средњобосански кантон,Природни прираштај,
2014,Број,Оба пола,Херцеговачко-неретвански кантон,Природни прираштај,
2014,Број,Оба пола,Западнохерцеговчки кантон,Природни прираштај,
2014,Број,Оба пола,Кантон Сарајево,Природни прираштај,
2014,Број,Оба пола,Кантон 10,Природни прираштај,
2015,Број,Оба пола,Федерација Босне и Херцеговине,Природни прираштај,-2116.0
2015,Број,Оба пола,Унско-сански кантон,Природни прираштај,
2015,Број,Оба пола,Посавски кантон,Природни прираштај,
2015,Број,Оба пола,Тузлански кантон,Природни прираштај,
2015,Број,Оба пола,Зеничко-добојски кантон,Природни прираштај,
2015,Број,Оба пола,Босанско-подрињски кантон,Природни прираштај,
2015,Број,Оба пола,Средњобосански кантон,Природни прираштај,
2015,Број,Оба пола,Херцеговачко-неретвански кантон,Природни прираштај,
2015,Број,Оба пола,Западнохерцеговчки кантон,Природни прираштај,
2015,Број,Оба пола,Кантон Сарајево,Природни прираштај,
2015,Број,Оба пола,Кантон 10,Природни прираштај,
2016,Број,Оба пола,Федерација Босне и Херцеговине,Природни прираштај,-1450.0
2016,Број,Оба пола,Унско-сански кантон,Природни прираштај,
2016,Број,Оба пола,Посавски кантон,Природни прираштај,
2016,Број,Оба пола,Тузлански кантон,Природни прираштај,
2016,Број,Оба пола,Зеничко-добојски кантон,Природни прираштај,
2016,Број,Оба пола,Босанско-подрињски кантон,Природни прираштај,
2016,Број,Оба пола,Средњобосански кантон,Природни прираштај,
2016,Број,Оба пола,Херцеговачко-неретвански кантон,Природни прираштај,
2016,Број,Оба пола,Западнохерцеговчки кантон,Природни прираштај,
2016,Број,Оба пола,Кантон Сарајево,Природни прираштај,
2016,Број,Оба пола,Кантон 10,Природни прираштај,
2017,Број,Оба пола,Федерација Босне и Херцеговине,Природни прираштај,-1865.0
2017,Број,Оба пола,Унско-сански кантон,Природни прираштај,
2017,Број,Оба пола,Посавски кантон,Природни прираштај,
2017,Број,Оба пола,Тузлански кантон,Природни прираштај,
2017,Број,Оба пола,Зеничко-добојски кантон,Природни прираштај,
2017,Број,Оба пола,Босанско-подрињски кантон,Природни прираштај,
2017,Број,Оба пола,Средњобосански кантон,Природни прираштај,
2017,Број,Оба пола,Херцеговачко-неретвански кантон,Природни прираштај,
2017,Број,Оба пола,Западнохерцеговчки кантон,Природни прираштај,
2017,Број,Оба пола,Кантон Сарајево,Природни прираштај,
2017,Број,Оба пола,Кантон 10,Природни прираштај,
2018,Број,Оба пола,Федерација Босне и Херцеговине,Природни прираштај,-2543.0
2018,Број,Оба пола,Унско-сански кантон,Природни прираштај,
2018,Број,Оба пола,Посавски кантон,Природни прираштај,
2018,Број,Оба пола,Тузлански кантон,Природни прираштај,
2018,Број,Оба пола,Зеничко-добојски кантон,Природни прираштај,
2018,Број,Оба пола,Босанско-подрињски кантон,Природни прираштај,
2018,Број,Оба пола,Средњобосански кантон,Природни прираштај,
2018,Број,Оба пола,Херцеговачко-неретвански кантон,Природни прираштај,
2018,Број,Оба пола,Западнохерцеговчки кантон,Природни прираштај,
2018,Број,Оба пола,Кантон Сарајево,Природни прираштај,
2018,Број,Оба пола,Кантон 10,Природни прираштај,
2019,Број,Оба пола,Федерација Босне и Херцеговине,Природни прираштај,-4005.0
2019,Број,Оба пола,Унско-сански кантон,Природни прираштај,
2019,Број,Оба пола,Посавски кантон,Природни прираштај,
2019,Број,Оба пола,Тузлански кантон,Природни прираштај,
2019,Број,Оба пола,Зеничко-добојски кантон,Природни прираштај,
2019,Број,Оба пола,Босанско-подрињски кантон,Природни прираштај,
2019,Број,Оба пола,Средњобосански кантон,Природни прираштај,
2019,Број,Оба пола,Херцеговачко-неретвански кантон,Природни прираштај,
2019,Број,Оба пола,Западнохерцеговчки кантон,Природни прираштај,
2019,Број,Оба пола,Кантон Сарајево,Природни прираштај,
2019,Број,Оба пола,Кантон 10,Природни прираштај,
2020,Број,Оба пола,Федерација Босне и Херцеговине,Природни прираштај,
2020,Број,Оба пола,Унско-сански кантон,Природни прираштај,
2020,Број,Оба пола,Посавски кантон,Природни прираштај,
2020,Број,Оба пола,Тузлански кантон,Природни прираштај,
2020,Број,Оба пола,Зеничко-добојски кантон,Природни прираштај,
2020,Број,Оба пола,Босанско-подрињски кантон,Природни прираштај,
2020,Број,Оба пола,Средњобосански кантон,Природни прираштај,
2020,Број,Оба пола,Херцеговачко-неретвански кантон,Природни прираштај,
2020,Број,Оба пола,Западнохерцеговчки кантон,Природни прираштај,
2020,Број,Оба пола,Кантон Сарајево,Природни прираштај,
2020,Број,Оба пола,Кантон 10,Природни прираштај,
