Year,UNIT_MEASURE,Administrative Area,Scientific Field,Value
2015,Number,Herzegovina-Neretva Canton,Information and communication technologies,
2015,Number,Herzegovina-Neretva Canton,"Engineering, production and construction",
2015,Number,Herzegovina-Neretva Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2015,Number,Herzegovina-Neretva Canton,Health and social protection,
2015,Number,Herzegovina-Neretva Canton,Services,
2015,Number,Sarajevo Canton,Education,
2015,Number,Sarajevo Canton,Arts and humanities,
2015,Number,Sarajevo Canton,"Social sciences, journalism and information",
2015,Number,Sarajevo Canton,"Business, administration and law",
2015,Number,Sarajevo Canton,"Natural sciences, mathematics and statistics",
2015,Number,Sarajevo Canton,Information and communication technologies,
2015,Number,Sarajevo Canton,"Engineering, production and construction",
2015,Number,Sarajevo Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2015,Number,Sarajevo Canton,Health and social protection,
2015,Number,Sarajevo Canton,Services,
2016,Number,Federation of Bosnia and Herzegovina,Education,
2016,Number,Federation of Bosnia and Herzegovina,Arts and humanities,
2016,Number,Federation of Bosnia and Herzegovina,"Social sciences, journalism and information",
2016,Number,Federation of Bosnia and Herzegovina,"Business, administration and law",
2016,Number,Federation of Bosnia and Herzegovina,"Natural sciences, mathematics and statistics",
2016,Number,Federation of Bosnia and Herzegovina,Information and communication technologies,
2016,Number,Federation of Bosnia and Herzegovina,"Engineering, production and construction",
2016,Number,Federation of Bosnia and Herzegovina,"Agriculture, forestry, fisheries and veterinary medicine",
2016,Number,Federation of Bosnia and Herzegovina,Health and social protection,
2016,Number,Federation of Bosnia and Herzegovina,Services,
2016,Number,Una-Sana Canton,Education,
2016,Number,Una-Sana Canton,Arts and humanities,
2016,Number,Una-Sana Canton,"Social sciences, journalism and information",
2016,Number,Una-Sana Canton,"Business, administration and law",
2016,Number,Una-Sana Canton,"Natural sciences, mathematics and statistics",
2016,Number,Una-Sana Canton,Information and communication technologies,
2016,Number,Una-Sana Canton,"Engineering, production and construction",
2016,Number,Una-Sana Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2016,Number,Una-Sana Canton,Health and social protection,
2016,Number,Una-Sana Canton,Services,
2016,Number,Tuzla Canton,Education,
2016,Number,Tuzla Canton,Arts and humanities,
2016,Number,Tuzla Canton,"Social sciences, journalism and information",
2016,Number,Tuzla Canton,"Business, administration and law",
2016,Number,Tuzla Canton,"Natural sciences, mathematics and statistics",
2016,Number,Tuzla Canton,Information and communication technologies,
2016,Number,Tuzla Canton,"Engineering, production and construction",
2016,Number,Tuzla Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2016,Number,Tuzla Canton,Health and social protection,
2016,Number,Tuzla Canton,Services,
2016,Number,Zenica-Doboj Canton,Education,
2016,Number,Zenica-Doboj Canton,Arts and humanities,
2016,Number,Zenica-Doboj Canton,"Social sciences, journalism and information",
2016,Number,Zenica-Doboj Canton,"Business, administration and law",
2016,Number,Zenica-Doboj Canton,"Natural sciences, mathematics and statistics",
2016,Number,Zenica-Doboj Canton,Information and communication technologies,
2016,Number,Zenica-Doboj Canton,"Engineering, production and construction",
2016,Number,Zenica-Doboj Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2016,Number,Zenica-Doboj Canton,Health and social protection,
2016,Number,Zenica-Doboj Canton,Services,
2016,Number,Bosnian-Podrinje Canton,Education,
2016,Number,Bosnian-Podrinje Canton,Arts and humanities,
2016,Number,Bosnian-Podrinje Canton,"Social sciences, journalism and information",
2016,Number,Bosnian-Podrinje Canton,"Business, administration and law",
2016,Number,Bosnian-Podrinje Canton,"Natural sciences, mathematics and statistics",
2016,Number,Bosnian-Podrinje Canton,Information and communication technologies,
2016,Number,Bosnian-Podrinje Canton,"Engineering, production and construction",
2016,Number,Bosnian-Podrinje Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2016,Number,Bosnian-Podrinje Canton,Health and social protection,
2016,Number,Bosnian-Podrinje Canton,Services,
2016,Number,Central Bosnia Canton,Education,
2016,Number,Central Bosnia Canton,Arts and humanities,
2016,Number,Central Bosnia Canton,"Social sciences, journalism and information",
2016,Number,Central Bosnia Canton,"Business, administration and law",
2016,Number,Central Bosnia Canton,"Natural sciences, mathematics and statistics",
2016,Number,Central Bosnia Canton,Information and communication technologies,
2016,Number,Central Bosnia Canton,"Engineering, production and construction",
2016,Number,Central Bosnia Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2016,Number,Central Bosnia Canton,Health and social protection,
2016,Number,Central Bosnia Canton,Services,
2016,Number,Herzegovina-Neretva Canton,Education,
2016,Number,Herzegovina-Neretva Canton,Arts and humanities,
2016,Number,Herzegovina-Neretva Canton,"Social sciences, journalism and information",
2016,Number,Herzegovina-Neretva Canton,"Business, administration and law",
2016,Number,Herzegovina-Neretva Canton,"Natural sciences, mathematics and statistics",
2016,Number,Herzegovina-Neretva Canton,Information and communication technologies,
2016,Number,Herzegovina-Neretva Canton,"Engineering, production and construction",
2016,Number,Herzegovina-Neretva Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2016,Number,Herzegovina-Neretva Canton,Health and social protection,
2016,Number,Herzegovina-Neretva Canton,Services,
2016,Number,Sarajevo Canton,Education,
2016,Number,Sarajevo Canton,Arts and humanities,
2016,Number,Sarajevo Canton,"Social sciences, journalism and information",
2016,Number,Sarajevo Canton,"Business, administration and law",
2016,Number,Sarajevo Canton,"Natural sciences, mathematics and statistics",
2016,Number,Sarajevo Canton,Information and communication technologies,
2016,Number,Sarajevo Canton,"Engineering, production and construction",
2016,Number,Sarajevo Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2016,Number,Sarajevo Canton,Health and social protection,
2016,Number,Sarajevo Canton,Services,
2017,Number,Federation of Bosnia and Herzegovina,Education,
2017,Number,Federation of Bosnia and Herzegovina,Arts and humanities,
2017,Number,Federation of Bosnia and Herzegovina,"Social sciences, journalism and information",
2017,Number,Federation of Bosnia and Herzegovina,"Business, administration and law",
2017,Number,Federation of Bosnia and Herzegovina,"Natural sciences, mathematics and statistics",
2017,Number,Federation of Bosnia and Herzegovina,Information and communication technologies,
2017,Number,Federation of Bosnia and Herzegovina,"Engineering, production and construction",
2017,Number,Federation of Bosnia and Herzegovina,"Agriculture, forestry, fisheries and veterinary medicine",
2017,Number,Federation of Bosnia and Herzegovina,Health and social protection,
2017,Number,Federation of Bosnia and Herzegovina,Services,
2017,Number,Una-Sana Canton,Education,
2017,Number,Una-Sana Canton,Arts and humanities,
2017,Number,Una-Sana Canton,"Social sciences, journalism and information",
2017,Number,Una-Sana Canton,"Business, administration and law",
2017,Number,Una-Sana Canton,"Natural sciences, mathematics and statistics",
2017,Number,Una-Sana Canton,Information and communication technologies,
2017,Number,Una-Sana Canton,"Engineering, production and construction",
2017,Number,Una-Sana Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2017,Number,Una-Sana Canton,Health and social protection,
2017,Number,Una-Sana Canton,Services,
2017,Number,Tuzla Canton,Education,
2017,Number,Tuzla Canton,Arts and humanities,
2017,Number,Tuzla Canton,"Social sciences, journalism and information",
2017,Number,Tuzla Canton,"Business, administration and law",
2017,Number,Tuzla Canton,"Natural sciences, mathematics and statistics",
2017,Number,Tuzla Canton,Information and communication technologies,
2017,Number,Tuzla Canton,"Engineering, production and construction",
2017,Number,Tuzla Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2017,Number,Tuzla Canton,Health and social protection,
2017,Number,Tuzla Canton,Services,
2017,Number,Zenica-Doboj Canton,Education,
2017,Number,Zenica-Doboj Canton,Arts and humanities,
2017,Number,Zenica-Doboj Canton,"Social sciences, journalism and information",
2017,Number,Zenica-Doboj Canton,"Business, administration and law",
2017,Number,Zenica-Doboj Canton,"Natural sciences, mathematics and statistics",
2017,Number,Zenica-Doboj Canton,Information and communication technologies,
2017,Number,Zenica-Doboj Canton,"Engineering, production and construction",
2017,Number,Zenica-Doboj Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2017,Number,Zenica-Doboj Canton,Health and social protection,
2017,Number,Zenica-Doboj Canton,Services,
2017,Number,Bosnian-Podrinje Canton,Education,
2017,Number,Bosnian-Podrinje Canton,Arts and humanities,
2017,Number,Bosnian-Podrinje Canton,"Social sciences, journalism and information",
2017,Number,Bosnian-Podrinje Canton,"Business, administration and law",
2017,Number,Bosnian-Podrinje Canton,"Natural sciences, mathematics and statistics",
2017,Number,Bosnian-Podrinje Canton,Information and communication technologies,
2017,Number,Bosnian-Podrinje Canton,"Engineering, production and construction",
2017,Number,Bosnian-Podrinje Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2017,Number,Bosnian-Podrinje Canton,Health and social protection,
2017,Number,Bosnian-Podrinje Canton,Services,
2017,Number,Central Bosnia Canton,Education,
2017,Number,Central Bosnia Canton,Arts and humanities,
2017,Number,Central Bosnia Canton,"Social sciences, journalism and information",
2017,Number,Central Bosnia Canton,"Business, administration and law",
2017,Number,Central Bosnia Canton,"Natural sciences, mathematics and statistics",
2017,Number,Central Bosnia Canton,Information and communication technologies,
2017,Number,Central Bosnia Canton,"Engineering, production and construction",
2017,Number,Central Bosnia Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2017,Number,Central Bosnia Canton,Health and social protection,
2017,Number,Central Bosnia Canton,Services,
2017,Number,Herzegovina-Neretva Canton,Education,
2017,Number,Herzegovina-Neretva Canton,Arts and humanities,
2017,Number,Herzegovina-Neretva Canton,"Social sciences, journalism and information",
2017,Number,Herzegovina-Neretva Canton,"Business, administration and law",
2017,Number,Herzegovina-Neretva Canton,"Natural sciences, mathematics and statistics",
2017,Number,Herzegovina-Neretva Canton,Information and communication technologies,
2017,Number,Herzegovina-Neretva Canton,"Engineering, production and construction",
2017,Number,Herzegovina-Neretva Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2017,Number,Herzegovina-Neretva Canton,Health and social protection,
2017,Number,Herzegovina-Neretva Canton,Services,
2017,Number,Sarajevo Canton,Education,
2017,Number,Sarajevo Canton,Arts and humanities,
2017,Number,Sarajevo Canton,"Social sciences, journalism and information",
2017,Number,Sarajevo Canton,"Business, administration and law",
2017,Number,Sarajevo Canton,"Natural sciences, mathematics and statistics",
2017,Number,Sarajevo Canton,Information and communication technologies,
2017,Number,Sarajevo Canton,"Engineering, production and construction",
2017,Number,Sarajevo Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2017,Number,Sarajevo Canton,Health and social protection,
2017,Number,Sarajevo Canton,Services,
2018,Number,Federation of Bosnia and Herzegovina,Education,
2018,Number,Federation of Bosnia and Herzegovina,Arts and humanities,
2018,Number,Federation of Bosnia and Herzegovina,"Social sciences, journalism and information",
2018,Number,Federation of Bosnia and Herzegovina,"Business, administration and law",
2018,Number,Federation of Bosnia and Herzegovina,"Natural sciences, mathematics and statistics",
2018,Number,Federation of Bosnia and Herzegovina,Information and communication technologies,
2018,Number,Federation of Bosnia and Herzegovina,"Engineering, production and construction",
2018,Number,Federation of Bosnia and Herzegovina,"Agriculture, forestry, fisheries and veterinary medicine",
2018,Number,Federation of Bosnia and Herzegovina,Health and social protection,
2018,Number,Federation of Bosnia and Herzegovina,Services,
2018,Number,Una-Sana Canton,Education,
2018,Number,Una-Sana Canton,Arts and humanities,
2018,Number,Una-Sana Canton,"Social sciences, journalism and information",
2018,Number,Una-Sana Canton,"Business, administration and law",
2018,Number,Una-Sana Canton,"Natural sciences, mathematics and statistics",
2018,Number,Una-Sana Canton,Information and communication technologies,
2018,Number,Una-Sana Canton,"Engineering, production and construction",
2018,Number,Una-Sana Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2018,Number,Una-Sana Canton,Health and social protection,
2018,Number,Una-Sana Canton,Services,
2018,Number,Tuzla Canton,Education,
2018,Number,Tuzla Canton,Arts and humanities,
2018,Number,Tuzla Canton,"Social sciences, journalism and information",
2018,Number,Tuzla Canton,"Business, administration and law",
2018,Number,Tuzla Canton,"Natural sciences, mathematics and statistics",
2018,Number,Tuzla Canton,Information and communication technologies,
2018,Number,Tuzla Canton,"Engineering, production and construction",
2018,Number,Tuzla Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2018,Number,Tuzla Canton,Health and social protection,
2018,Number,Tuzla Canton,Services,
2018,Number,Zenica-Doboj Canton,Education,
2018,Number,Zenica-Doboj Canton,Arts and humanities,
2018,Number,Zenica-Doboj Canton,"Social sciences, journalism and information",
2018,Number,Zenica-Doboj Canton,"Business, administration and law",
2018,Number,Zenica-Doboj Canton,"Natural sciences, mathematics and statistics",
2018,Number,Zenica-Doboj Canton,Information and communication technologies,
2018,Number,Zenica-Doboj Canton,"Engineering, production and construction",
2018,Number,Zenica-Doboj Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2018,Number,Zenica-Doboj Canton,Health and social protection,
2018,Number,Zenica-Doboj Canton,Services,
2018,Number,Bosnian-Podrinje Canton,Education,
2018,Number,Bosnian-Podrinje Canton,Arts and humanities,
2018,Number,Bosnian-Podrinje Canton,"Social sciences, journalism and information",
2018,Number,Bosnian-Podrinje Canton,"Business, administration and law",
2018,Number,Bosnian-Podrinje Canton,"Natural sciences, mathematics and statistics",
2018,Number,Bosnian-Podrinje Canton,Information and communication technologies,
2018,Number,Bosnian-Podrinje Canton,"Engineering, production and construction",
2018,Number,Bosnian-Podrinje Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2018,Number,Bosnian-Podrinje Canton,Health and social protection,
2018,Number,Bosnian-Podrinje Canton,Services,
2018,Number,Central Bosnia Canton,Education,
2018,Number,Central Bosnia Canton,Arts and humanities,
2018,Number,Central Bosnia Canton,"Social sciences, journalism and information",
2018,Number,Central Bosnia Canton,"Business, administration and law",
2018,Number,Central Bosnia Canton,"Natural sciences, mathematics and statistics",
2018,Number,Central Bosnia Canton,Information and communication technologies,
2018,Number,Central Bosnia Canton,"Engineering, production and construction",
2018,Number,Central Bosnia Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2018,Number,Central Bosnia Canton,Health and social protection,
2018,Number,Central Bosnia Canton,Services,
2018,Number,Herzegovina-Neretva Canton,Education,
2018,Number,Herzegovina-Neretva Canton,Arts and humanities,
2018,Number,Herzegovina-Neretva Canton,"Social sciences, journalism and information",
2018,Number,Herzegovina-Neretva Canton,"Business, administration and law",
2018,Number,Herzegovina-Neretva Canton,"Natural sciences, mathematics and statistics",
2018,Number,Herzegovina-Neretva Canton,Information and communication technologies,
2018,Number,Herzegovina-Neretva Canton,"Engineering, production and construction",
2018,Number,Herzegovina-Neretva Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2018,Number,Herzegovina-Neretva Canton,Health and social protection,
2018,Number,Herzegovina-Neretva Canton,Services,
2018,Number,Sarajevo Canton,Education,
2018,Number,Sarajevo Canton,Arts and humanities,
2018,Number,Sarajevo Canton,"Social sciences, journalism and information",
2018,Number,Sarajevo Canton,"Business, administration and law",
2018,Number,Sarajevo Canton,"Natural sciences, mathematics and statistics",
2018,Number,Sarajevo Canton,Information and communication technologies,
2018,Number,Sarajevo Canton,"Engineering, production and construction",
2018,Number,Sarajevo Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2018,Number,Sarajevo Canton,Health and social protection,
2018,Number,Sarajevo Canton,Services,
2019,Number,Federation of Bosnia and Herzegovina,Education,
2019,Number,Federation of Bosnia and Herzegovina,Arts and humanities,
2019,Number,Federation of Bosnia and Herzegovina,"Social sciences, journalism and information",
2019,Number,Federation of Bosnia and Herzegovina,"Business, administration and law",
2019,Number,Federation of Bosnia and Herzegovina,"Natural sciences, mathematics and statistics",
2019,Number,Federation of Bosnia and Herzegovina,Information and communication technologies,
2019,Number,Federation of Bosnia and Herzegovina,"Engineering, production and construction",
2019,Number,Federation of Bosnia and Herzegovina,"Agriculture, forestry, fisheries and veterinary medicine",
2019,Number,Federation of Bosnia and Herzegovina,Health and social protection,
2019,Number,Federation of Bosnia and Herzegovina,Services,
2019,Number,Una-Sana Canton,Education,
2019,Number,Una-Sana Canton,Arts and humanities,
2019,Number,Una-Sana Canton,"Social sciences, journalism and information",
2019,Number,Una-Sana Canton,"Business, administration and law",
2019,Number,Una-Sana Canton,"Natural sciences, mathematics and statistics",
2019,Number,Una-Sana Canton,Information and communication technologies,
2019,Number,Una-Sana Canton,"Engineering, production and construction",
2019,Number,Una-Sana Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2019,Number,Una-Sana Canton,Health and social protection,
2019,Number,Una-Sana Canton,Services,
2019,Number,Tuzla Canton,Education,
2019,Number,Tuzla Canton,Arts and humanities,
2019,Number,Tuzla Canton,"Social sciences, journalism and information",
2019,Number,Tuzla Canton,"Business, administration and law",
2019,Number,Tuzla Canton,"Natural sciences, mathematics and statistics",
2019,Number,Tuzla Canton,Information and communication technologies,
2019,Number,Tuzla Canton,"Engineering, production and construction",
2019,Number,Tuzla Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2019,Number,Tuzla Canton,Health and social protection,
2019,Number,Tuzla Canton,Services,
2019,Number,Zenica-Doboj Canton,Education,
2019,Number,Zenica-Doboj Canton,Arts and humanities,
2019,Number,Zenica-Doboj Canton,"Social sciences, journalism and information",
2019,Number,Zenica-Doboj Canton,"Business, administration and law",
2019,Number,Zenica-Doboj Canton,"Natural sciences, mathematics and statistics",
2019,Number,Zenica-Doboj Canton,Information and communication technologies,
2019,Number,Zenica-Doboj Canton,"Engineering, production and construction",
2019,Number,Zenica-Doboj Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2019,Number,Zenica-Doboj Canton,Health and social protection,
2019,Number,Zenica-Doboj Canton,Services,
2019,Number,Bosnian-Podrinje Canton,Education,
2019,Number,Bosnian-Podrinje Canton,Arts and humanities,
2019,Number,Bosnian-Podrinje Canton,"Social sciences, journalism and information",
2019,Number,Bosnian-Podrinje Canton,"Business, administration and law",
2019,Number,Bosnian-Podrinje Canton,"Natural sciences, mathematics and statistics",
2019,Number,Bosnian-Podrinje Canton,Information and communication technologies,
2019,Number,Bosnian-Podrinje Canton,"Engineering, production and construction",
2019,Number,Bosnian-Podrinje Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2019,Number,Bosnian-Podrinje Canton,Health and social protection,
2019,Number,Bosnian-Podrinje Canton,Services,
2019,Number,Central Bosnia Canton,Education,
2019,Number,Central Bosnia Canton,Arts and humanities,
2019,Number,Central Bosnia Canton,"Social sciences, journalism and information",
2019,Number,Central Bosnia Canton,"Business, administration and law",
2019,Number,Central Bosnia Canton,"Natural sciences, mathematics and statistics",
2019,Number,Central Bosnia Canton,Information and communication technologies,
2019,Number,Central Bosnia Canton,"Engineering, production and construction",
2019,Number,Central Bosnia Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2019,Number,Central Bosnia Canton,Health and social protection,
2019,Number,Central Bosnia Canton,Services,
2019,Number,Herzegovina-Neretva Canton,Education,
2019,Number,Herzegovina-Neretva Canton,Arts and humanities,
2019,Number,Herzegovina-Neretva Canton,"Social sciences, journalism and information",
2019,Number,Herzegovina-Neretva Canton,"Business, administration and law",
2019,Number,Herzegovina-Neretva Canton,"Natural sciences, mathematics and statistics",
2019,Number,Herzegovina-Neretva Canton,Information and communication technologies,
2019,Number,Herzegovina-Neretva Canton,"Engineering, production and construction",
2019,Number,Herzegovina-Neretva Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2019,Number,Herzegovina-Neretva Canton,Health and social protection,
2019,Number,Herzegovina-Neretva Canton,Services,
2019,Number,Sarajevo Canton,Education,
2019,Number,Sarajevo Canton,Arts and humanities,
2019,Number,Sarajevo Canton,"Social sciences, journalism and information",
2019,Number,Sarajevo Canton,"Business, administration and law",
2019,Number,Sarajevo Canton,"Natural sciences, mathematics and statistics",
2019,Number,Sarajevo Canton,Information and communication technologies,
2019,Number,Sarajevo Canton,"Engineering, production and construction",
2019,Number,Sarajevo Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2019,Number,Sarajevo Canton,Health and social protection,
2019,Number,Sarajevo Canton,Services,
2020,Number,Federation of Bosnia and Herzegovina,Education,
2020,Number,Federation of Bosnia and Herzegovina,Arts and humanities,
2020,Number,Federation of Bosnia and Herzegovina,"Social sciences, journalism and information",
2020,Number,Federation of Bosnia and Herzegovina,"Business, administration and law",
2020,Number,Federation of Bosnia and Herzegovina,"Natural sciences, mathematics and statistics",
2020,Number,Federation of Bosnia and Herzegovina,Information and communication technologies,
2020,Number,Federation of Bosnia and Herzegovina,"Engineering, production and construction",
2020,Number,Federation of Bosnia and Herzegovina,"Agriculture, forestry, fisheries and veterinary medicine",
2020,Number,Federation of Bosnia and Herzegovina,Health and social protection,
2020,Number,Federation of Bosnia and Herzegovina,Services,
2020,Number,Una-Sana Canton,Education,
2020,Number,Una-Sana Canton,Arts and humanities,
2020,Number,Una-Sana Canton,"Social sciences, journalism and information",
2020,Number,Una-Sana Canton,"Business, administration and law",
2020,Number,Una-Sana Canton,"Natural sciences, mathematics and statistics",
2020,Number,Una-Sana Canton,Information and communication technologies,
2020,Number,Una-Sana Canton,"Engineering, production and construction",
2020,Number,Una-Sana Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2020,Number,Una-Sana Canton,Health and social protection,
2020,Number,Una-Sana Canton,Services,
2020,Number,Tuzla Canton,Education,
2020,Number,Tuzla Canton,Arts and humanities,
2020,Number,Tuzla Canton,"Social sciences, journalism and information",
2020,Number,Tuzla Canton,"Business, administration and law",
2020,Number,Tuzla Canton,"Natural sciences, mathematics and statistics",
2020,Number,Tuzla Canton,Information and communication technologies,
2020,Number,Tuzla Canton,"Engineering, production and construction",
2020,Number,Tuzla Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2020,Number,Tuzla Canton,Health and social protection,
2020,Number,Tuzla Canton,Services,
2020,Number,Zenica-Doboj Canton,Education,
2020,Number,Zenica-Doboj Canton,Arts and humanities,
2020,Number,Zenica-Doboj Canton,"Social sciences, journalism and information",
2020,Number,Zenica-Doboj Canton,"Business, administration and law",
2020,Number,Zenica-Doboj Canton,"Natural sciences, mathematics and statistics",
2020,Number,Zenica-Doboj Canton,Information and communication technologies,
2020,Number,Zenica-Doboj Canton,"Engineering, production and construction",
2020,Number,Zenica-Doboj Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2020,Number,Zenica-Doboj Canton,Health and social protection,
2020,Number,Zenica-Doboj Canton,Services,
2020,Number,Bosnian-Podrinje Canton,Education,
2020,Number,Bosnian-Podrinje Canton,Arts and humanities,
2020,Number,Bosnian-Podrinje Canton,"Social sciences, journalism and information",
2020,Number,Bosnian-Podrinje Canton,"Business, administration and law",
2020,Number,Bosnian-Podrinje Canton,"Natural sciences, mathematics and statistics",
2020,Number,Bosnian-Podrinje Canton,Information and communication technologies,
2020,Number,Bosnian-Podrinje Canton,"Engineering, production and construction",
2020,Number,Bosnian-Podrinje Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2020,Number,Bosnian-Podrinje Canton,Health and social protection,
2020,Number,Bosnian-Podrinje Canton,Services,
2020,Number,Central Bosnia Canton,Education,
2020,Number,Central Bosnia Canton,Arts and humanities,
2020,Number,Central Bosnia Canton,"Social sciences, journalism and information",
2020,Number,Central Bosnia Canton,"Business, administration and law",
2020,Number,Central Bosnia Canton,"Natural sciences, mathematics and statistics",
2020,Number,Central Bosnia Canton,Information and communication technologies,
2020,Number,Central Bosnia Canton,"Engineering, production and construction",
2020,Number,Central Bosnia Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2020,Number,Central Bosnia Canton,Health and social protection,
2020,Number,Central Bosnia Canton,Services,
2020,Number,Herzegovina-Neretva Canton,Education,
2020,Number,Herzegovina-Neretva Canton,Arts and humanities,
2020,Number,Herzegovina-Neretva Canton,"Social sciences, journalism and information",
2020,Number,Herzegovina-Neretva Canton,"Business, administration and law",
2020,Number,Herzegovina-Neretva Canton,"Natural sciences, mathematics and statistics",
2020,Number,Herzegovina-Neretva Canton,Information and communication technologies,
2020,Number,Herzegovina-Neretva Canton,"Engineering, production and construction",
2020,Number,Herzegovina-Neretva Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2020,Number,Herzegovina-Neretva Canton,Health and social protection,
2020,Number,Herzegovina-Neretva Canton,Services,
2020,Number,Sarajevo Canton,Education,
2020,Number,Sarajevo Canton,Arts and humanities,
2020,Number,Sarajevo Canton,"Social sciences, journalism and information",
2020,Number,Sarajevo Canton,"Business, administration and law",
2020,Number,Sarajevo Canton,"Natural sciences, mathematics and statistics",
2020,Number,Sarajevo Canton,Information and communication technologies,
2020,Number,Sarajevo Canton,"Engineering, production and construction",
2020,Number,Sarajevo Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2020,Number,Sarajevo Canton,Health and social protection,
2020,Number,Sarajevo Canton,Services,
