Year,UNIT_MEASURE,Административна јединица,Врста школе,Пол,Value
2019,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,Оба пола,43
2020,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,Оба пола,34
2021,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,Оба пола,31
2022,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,Оба пола,50
2016,Број,Кантон 10,Средње школе за дјецу са посебним потребама,Оба пола,2
2017,Број,Кантон 10,Средње школе за дјецу са посебним потребама,Оба пола,3
2018,Број,Кантон 10,Средње школе за дјецу са посебним потребама,Оба пола,1
2019,Број,Кантон 10,Средње школе за дјецу са посебним потребама,Оба пола,1
2020,Број,Кантон 10,Средње школе за дјецу са посебним потребама,Оба пола,3
2021,Број,Кантон 10,Средње школе за дјецу са посебним потребама,Оба пола,3
2022,Број,Кантон 10,Средње школе за дјецу са посебним потребама,Оба пола,0
2016,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,M,61
2017,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,M,49
2018,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,M,53
2019,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,M,52
2020,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,M,54
2021,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,M,54
2022,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,M,37
2016,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,M,10
2017,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,M,10
2018,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,M,10
2019,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,M,6
2020,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,M,5
2016,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,M,15
2017,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,M,10
2018,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,M,13
2019,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,M,8
2020,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,M,10
2021,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,M,20
2022,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,M,5
2016,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,M,5
2017,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,M,8
2018,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,M,7
2019,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,M,7
2020,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,M,6
2021,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,M,8
2022,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,M,0
2016,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,M,0
2017,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,M,0
2018,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,M,0
2019,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,M,1
2020,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,M,4
2021,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,M,1
2022,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,M,1
2016,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,M,29
2017,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,M,18
2018,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,M,22
2019,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,M,29
2020,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,M,29
2021,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,M,23
2022,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,M,31
2016,Број,Кантон 10,Средње школе за дјецу са посебним потребама,M,2
2017,Број,Кантон 10,Средње школе за дјецу са посебним потребама,M,3
2018,Број,Кантон 10,Средње школе за дјецу са посебним потребама,M,1
2019,Број,Кантон 10,Средње школе за дјецу са посебним потребама,M,1
2020,Број,Кантон 10,Средње школе за дјецу са посебним потребама,M,0
2021,Број,Кантон 10,Средње школе за дјецу са посебним потребама,M,2
2022,Број,Кантон 10,Средње школе за дјецу са посебним потребама,M,0
2016,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,Ж,31
2017,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,Ж,26
2018,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,Ж,21
2019,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,Ж,20
2020,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,Ж,24
2021,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,Ж,21
2022,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,Ж,26
2016,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,Ж,1
2017,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,Ж,1
2018,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,Ж,1
2019,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,Ж,2
2020,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,Ж,3
2016,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,Ж,6
2017,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,Ж,6
2018,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,Ж,6
2019,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,Ж,0
2020,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,Ж,8
2021,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,Ж,12
2022,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,Ж,5
2016,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,Ж,2
2017,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,Ж,9
2018,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,Ж,5
2019,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,Ж,4
2020,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,Ж,4
2021,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,Ж,0
2022,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,Ж,1
2016,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,Ж,2
2017,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,Ж,0
2018,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,Ж,2
2019,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,Ж,0
2020,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,Ж,1
2021,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,Ж,0
2022,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,Ж,1
2016,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,Ж,20
2017,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,Ж,10
2018,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,Ж,7
2019,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,Ж,14
2020,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,Ж,5
2021,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,Ж,8
2022,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,Ж,19
2016,Број,Кантон 10,Средње школе за дјецу са посебним потребама,Ж,0
2017,Број,Кантон 10,Средње школе за дјецу са посебним потребама,Ж,0
2018,Број,Кантон 10,Средње школе за дјецу са посебним потребама,Ж,0
2019,Број,Кантон 10,Средње школе за дјецу са посебним потребама,Ж,0
2020,Број,Кантон 10,Средње школе за дјецу са посебним потребама,Ж,3
2021,Број,Кантон 10,Средње школе за дјецу са посебним потребама,Ж,1
2022,Број,Кантон 10,Средње школе за дјецу са посебним потребама,Ж,0
2016,Број,Федерација Босне и Херцеговине,Вјерске школе,Оба пола,491
2017,Број,Федерација Босне и Херцеговине,Вјерске школе,Оба пола,459
2018,Број,Федерација Босне и Херцеговине,Вјерске школе,Оба пола,504
2019,Број,Федерација Босне и Херцеговине,Вјерске школе,Оба пола,540
2020,Број,Федерација Босне и Херцеговине,Вјерске школе,Оба пола,507
2021,Број,Федерација Босне и Херцеговине,Вјерске школе,Оба пола,545
2022,Број,Федерација Босне и Херцеговине,Вјерске школе,Оба пола,482
2016,Број,Унско-сански кантон,Вјерске школе,Оба пола,63
2017,Број,Унско-сански кантон,Вјерске школе,Оба пола,49
2018,Број,Унско-сански кантон,Вјерске школе,Оба пола,63
2019,Број,Унско-сански кантон,Вјерске школе,Оба пола,70
2020,Број,Унско-сански кантон,Вјерске школе,Оба пола,55
2021,Број,Унско-сански кантон,Вјерске школе,Оба пола,55
2022,Број,Унско-сански кантон,Вјерске школе,Оба пола,52
2016,Број,Тузлански кантон,Вјерске школе,Оба пола,115
2017,Број,Тузлански кантон,Вјерске школе,Оба пола,114
2018,Број,Тузлански кантон,Вјерске школе,Оба пола,120
2019,Број,Тузлански кантон,Вјерске школе,Оба пола,125
2020,Број,Тузлански кантон,Вјерске школе,Оба пола,125
2021,Број,Тузлански кантон,Вјерске школе,Оба пола,125
2022,Број,Тузлански кантон,Вјерске школе,Оба пола,121
2016,Број,Зеничко-добојски кантон,Вјерске школе,Оба пола,56
2017,Број,Зеничко-добојски кантон,Вјерске школе,Оба пола,43
2018,Број,Зеничко-добојски кантон,Вјерске школе,Оба пола,56
2019,Број,Зеничко-добојски кантон,Вјерске школе,Оба пола,55
2020,Број,Зеничко-добојски кантон,Вјерске школе,Оба пола,46
2021,Број,Зеничко-добојски кантон,Вјерске школе,Оба пола,52
2022,Број,Зеничко-добојски кантон,Вјерске школе,Оба пола,45
2016,Број,Средњобосански кантон,Вјерске школе,Оба пола,87
2017,Број,Средњобосански кантон,Вјерске школе,Оба пола,81
2018,Број,Средњобосански кантон,Вјерске школе,Оба пола,87
2019,Број,Средњобосански кантон,Вјерске школе,Оба пола,99
2020,Број,Средњобосански кантон,Вјерске школе,Оба пола,101
2021,Број,Средњобосански кантон,Вјерске школе,Оба пола,125
2022,Број,Средњобосански кантон,Вјерске школе,Оба пола,92
2016,Број,Херцеговачко-неретвански кантон,Вјерске школе,Оба пола,72
2017,Број,Херцеговачко-неретвански кантон,Вјерске школе,Оба пола,61
2018,Број,Херцеговачко-неретвански кантон,Вјерске школе,Оба пола,54
2019,Број,Херцеговачко-неретвански кантон,Вјерске школе,Оба пола,72
2020,Број,Херцеговачко-неретвански кантон,Вјерске школе,Оба пола,67
2021,Број,Херцеговачко-неретвански кантон,Вјерске школе,Оба пола,61
2022,Број,Херцеговачко-неретвански кантон,Вјерске школе,Оба пола,54
2016,Број,Кантон Сарајево,Вјерске школе,Оба пола,98
2017,Број,Кантон Сарајево,Вјерске школе,Оба пола,111
2018,Број,Кантон Сарајево,Вјерске школе,Оба пола,124
2019,Број,Кантон Сарајево,Вјерске школе,Оба пола,119
2020,Број,Кантон Сарајево,Вјерске школе,Оба пола,113
2021,Број,Кантон Сарајево,Вјерске школе,Оба пола,127
2022,Број,Кантон Сарајево,Вјерске школе,Оба пола,118
2016,Број,Федерација Босне и Херцеговине,Вјерске школе,M,230
2017,Број,Федерација Босне и Херцеговине,Вјерске школе,M,224
2018,Број,Федерација Босне и Херцеговине,Вјерске школе,M,227
2019,Број,Федерација Босне и Херцеговине,Вјерске школе,M,238
2020,Број,Федерација Босне и Херцеговине,Вјерске школе,M,248
2021,Број,Федерација Босне и Херцеговине,Вјерске школе,M,249
2022,Број,Федерација Босне и Херцеговине,Вјерске школе,M,220
2016,Број,Унско-сански кантон,Вјерске школе,M,30
2017,Број,Унско-сански кантон,Вјерске школе,M,22
2018,Број,Унско-сански кантон,Вјерске школе,M,27
2019,Број,Унско-сански кантон,Вјерске школе,M,27
2020,Број,Унско-сански кантон,Вјерске школе,M,23
2021,Број,Унско-сански кантон,Вјерске школе,M,24
2022,Број,Унско-сански кантон,Вјерске школе,M,19
2016,Број,Тузлански кантон,Вјерске школе,M,64
2017,Број,Тузлански кантон,Вјерске школе,M,58
2018,Број,Тузлански кантон,Вјерске школе,M,60
2019,Број,Тузлански кантон,Вјерске школе,M,61
2020,Број,Тузлански кантон,Вјерске школе,M,61
2021,Број,Тузлански кантон,Вјерске школе,M,61
2022,Број,Тузлански кантон,Вјерске школе,M,60
2016,Број,Зеничко-добојски кантон,Вјерске школе,M,27
2017,Број,Зеничко-добојски кантон,Вјерске школе,M,21
2018,Број,Зеничко-добојски кантон,Вјерске школе,M,25
2019,Број,Зеничко-добојски кантон,Вјерске школе,M,28
2020,Број,Зеничко-добојски кантон,Вјерске школе,M,26
2021,Број,Зеничко-добојски кантон,Вјерске школе,M,26
2022,Број,Зеничко-добојски кантон,Вјерске школе,M,19
2016,Број,Средњобосански кантон,Вјерске школе,M,30
2017,Број,Средњобосански кантон,Вјерске школе,M,35
2018,Број,Средњобосански кантон,Вјерске школе,M,32
2019,Број,Средњобосански кантон,Вјерске школе,M,44
2020,Број,Средњобосански кантон,Вјерске школе,M,47
2021,Број,Средњобосански кантон,Вјерске школе,M,50
2022,Број,Средњобосански кантон,Вјерске школе,M,47
2016,Број,Херцеговачко-неретвански кантон,Вјерске школе,M,40
2017,Број,Херцеговачко-неретвански кантон,Вјерске школе,M,34
2018,Број,Херцеговачко-неретвански кантон,Вјерске школе,M,26
2019,Број,Херцеговачко-неретвански кантон,Вјерске школе,M,33
2020,Број,Херцеговачко-неретвански кантон,Вјерске школе,M,40
2021,Број,Херцеговачко-неретвански кантон,Вјерске школе,M,35
2022,Број,Херцеговачко-неретвански кантон,Вјерске школе,M,31
2016,Број,Кантон Сарајево,Вјерске школе,M,39
2017,Број,Кантон Сарајево,Вјерске школе,M,54
2018,Број,Кантон Сарајево,Вјерске школе,M,57
2019,Број,Кантон Сарајево,Вјерске школе,M,45
2020,Број,Кантон Сарајево,Вјерске школе,M,51
2021,Број,Кантон Сарајево,Вјерске школе,M,53
2022,Број,Кантон Сарајево,Вјерске школе,M,44
2016,Број,Федерација Босне и Херцеговине,Вјерске школе,Ж,261
2017,Број,Федерација Босне и Херцеговине,Вјерске школе,Ж,235
2018,Број,Федерација Босне и Херцеговине,Вјерске школе,Ж,277
2019,Број,Федерација Босне и Херцеговине,Вјерске школе,Ж,302
2020,Број,Федерација Босне и Херцеговине,Вјерске школе,Ж,259
2021,Број,Федерација Босне и Херцеговине,Вјерске школе,Ж,296
2022,Број,Федерација Босне и Херцеговине,Вјерске школе,Ж,262
2016,Број,Унско-сански кантон,Вјерске школе,Ж,33
2017,Број,Унско-сански кантон,Вјерске школе,Ж,27
2018,Број,Унско-сански кантон,Вјерске школе,Ж,36
2019,Број,Унско-сански кантон,Вјерске школе,Ж,43
2020,Број,Унско-сански кантон,Вјерске школе,Ж,32
2021,Број,Унско-сански кантон,Вјерске школе,Ж,31
2022,Број,Унско-сански кантон,Вјерске школе,Ж,33
2016,Број,Тузлански кантон,Вјерске школе,Ж,51
2017,Број,Тузлански кантон,Вјерске школе,Ж,56
2018,Број,Тузлански кантон,Вјерске школе,Ж,60
2019,Број,Тузлански кантон,Вјерске школе,Ж,64
2020,Број,Тузлански кантон,Вјерске школе,Ж,64
2021,Број,Тузлански кантон,Вјерске школе,Ж,64
2022,Број,Тузлански кантон,Вјерске школе,Ж,61
2016,Број,Зеничко-добојски кантон,Вјерске школе,Ж,29
2017,Број,Зеничко-добојски кантон,Вјерске школе,Ж,22
2018,Број,Зеничко-добојски кантон,Вјерске школе,Ж,31
2019,Број,Зеничко-добојски кантон,Вјерске школе,Ж,27
2020,Број,Зеничко-добојски кантон,Вјерске школе,Ж,20
2021,Број,Зеничко-добојски кантон,Вјерске школе,Ж,26
2022,Број,Зеничко-добојски кантон,Вјерске школе,Ж,26
2016,Број,Средњобосански кантон,Вјерске школе,Ж,57
2017,Број,Средњобосански кантон,Вјерске школе,Ж,46
2018,Број,Средњобосански кантон,Вјерске школе,Ж,55
2019,Број,Средњобосански кантон,Вјерске школе,Ж,55
2020,Број,Средњобосански кантон,Вјерске школе,Ж,54
2021,Број,Средњобосански кантон,Вјерске школе,Ж,75
2022,Број,Средњобосански кантон,Вјерске школе,Ж,45
2016,Број,Херцеговачко-неретвански кантон,Вјерске школе,Ж,32
2017,Број,Херцеговачко-неретвански кантон,Вјерске школе,Ж,27
2018,Број,Херцеговачко-неретвански кантон,Вјерске школе,Ж,28
2019,Број,Херцеговачко-неретвански кантон,Вјерске школе,Ж,39
2020,Број,Херцеговачко-неретвански кантон,Вјерске школе,Ж,27
2021,Број,Херцеговачко-неретвански кантон,Вјерске школе,Ж,26
2022,Број,Херцеговачко-неретвански кантон,Вјерске школе,Ж,23
2016,Број,Кантон Сарајево,Вјерске школе,Ж,59
2017,Број,Кантон Сарајево,Вјерске школе,Ж,57
2018,Број,Кантон Сарајево,Вјерске школе,Ж,67
2019,Број,Кантон Сарајево,Вјерске школе,Ж,74
2020,Број,Кантон Сарајево,Вјерске школе,Ж,62
2021,Број,Кантон Сарајево,Вјерске школе,Ж,74
2022,Број,Кантон Сарајево,Вјерске школе,Ж,74
2016,Број,Федерација Босне и Херцеговине,Техничке школе,Оба пола,11723
2017,Број,Федерација Босне и Херцеговине,Техничке школе,Оба пола,8944
2018,Број,Федерација Босне и Херцеговине,Техничке школе,Оба пола,10266
2019,Број,Федерација Босне и Херцеговине,Техничке школе,Оба пола,10551
2020,Број,Федерација Босне и Херцеговине,Техничке школе,Оба пола,9859
2021,Број,Федерација Босне и Херцеговине,Техничке школе,Оба пола,9303
2022,Број,Федерација Босне и Херцеговине,Техничке школе,Оба пола,7858
2016,Број,Унско-сански кантон,Техничке школе,Оба пола,1295
2017,Број,Унско-сански кантон,Техничке школе,Оба пола,880
2018,Број,Унско-сански кантон,Техничке школе,Оба пола,1421
2019,Број,Унско-сански кантон,Техничке школе,Оба пола,1091
2020,Број,Унско-сански кантон,Техничке школе,Оба пола,919
2021,Број,Унско-сански кантон,Техничке школе,Оба пола,926
2022,Број,Унско-сански кантон,Техничке школе,Оба пола,895
2016,Број,Посавски кантон,Техничке школе,Оба пола,244
2017,Број,Посавски кантон,Техничке школе,Оба пола,223
2018,Број,Посавски кантон,Техничке школе,Оба пола,237
2019,Број,Посавски кантон,Техничке школе,Оба пола,145
2020,Број,Посавски кантон,Техничке школе,Оба пола,173
2021,Број,Посавски кантон,Техничке школе,Оба пола,126
2022,Број,Посавски кантон,Техничке школе,Оба пола,138
2016,Број,Тузлански кантон,Техничке школе,Оба пола,2460
2017,Број,Тузлански кантон,Техничке школе,Оба пола,1954
2018,Број,Тузлански кантон,Техничке школе,Оба пола,1997
2019,Број,Тузлански кантон,Техничке школе,Оба пола,2370
2020,Број,Тузлански кантон,Техничке школе,Оба пола,2097
2021,Број,Тузлански кантон,Техничке школе,Оба пола,1903
2022,Број,Тузлански кантон,Техничке школе,Оба пола,1879
2016,Број,Зеничко-добојски кантон,Техничке школе,Оба пола,1864
2017,Број,Зеничко-добојски кантон,Техничке школе,Оба пола,1341
2018,Број,Зеничко-добојски кантон,Техничке школе,Оба пола,1558
2019,Број,Зеничко-добојски кантон,Техничке школе,Оба пола,1678
2020,Број,Зеничко-добојски кантон,Техничке школе,Оба пола,1749
2021,Број,Зеничко-добојски кантон,Техничке школе,Оба пола,1526
2022,Број,Зеничко-добојски кантон,Техничке школе,Оба пола,1231
2016,Број,Босанско-подрињски кантон,Техничке школе,Оба пола,205
2017,Број,Босанско-подрињски кантон,Техничке школе,Оба пола,91
2018,Број,Босанско-подрињски кантон,Техничке школе,Оба пола,150
2019,Број,Босанско-подрињски кантон,Техничке школе,Оба пола,213
2020,Број,Босанско-подрињски кантон,Техничке школе,Оба пола,145
2021,Број,Босанско-подрињски кантон,Техничке школе,Оба пола,123
2022,Број,Босанско-подрињски кантон,Техничке школе,Оба пола,132
2016,Број,Средњобосански кантон,Техничке школе,Оба пола,1448
2017,Број,Средњобосански кантон,Техничке школе,Оба пола,1359
2018,Број,Средњобосански кантон,Техничке школе,Оба пола,1344
2019,Број,Средњобосански кантон,Техничке школе,Оба пола,1515
2020,Број,Средњобосански кантон,Техничке школе,Оба пола,1232
2021,Број,Средњобосански кантон,Техничке школе,Оба пола,1251
2022,Број,Средњобосански кантон,Техничке школе,Оба пола,490
2016,Број,Херцеговачко-неретвански кантон,Техничке школе,Оба пола,1278
2017,Број,Херцеговачко-неретвански кантон,Техничке школе,Оба пола,1142
2018,Број,Херцеговачко-неретвански кантон,Техничке школе,Оба пола,897
2019,Број,Херцеговачко-неретвански кантон,Техничке школе,Оба пола,1000
2020,Број,Херцеговачко-неретвански кантон,Техничке школе,Оба пола,1035
2021,Број,Херцеговачко-неретвански кантон,Техничке школе,Оба пола,870
2022,Број,Херцеговачко-неретвански кантон,Техничке школе,Оба пола,643
2016,Број,Западнохерцеговчки кантон,Техничке школе,Оба пола,474
2017,Број,Западнохерцеговчки кантон,Техничке школе,Оба пола,496
2018,Број,Западнохерцеговчки кантон,Техничке школе,Оба пола,442
2019,Број,Западнохерцеговчки кантон,Техничке школе,Оба пола,420
2020,Број,Западнохерцеговчки кантон,Техничке школе,Оба пола,482
2021,Број,Западнохерцеговчки кантон,Техничке школе,Оба пола,419
2022,Број,Западнохерцеговчки кантон,Техничке школе,Оба пола,319
2016,Број,Кантон Сарајево,Техничке школе,Оба пола,2132
2017,Број,Кантон Сарајево,Техничке школе,Оба пола,1188
2018,Број,Кантон Сарајево,Техничке школе,Оба пола,1937
2019,Број,Кантон Сарајево,Техничке школе,Оба пола,1966
2020,Број,Кантон Сарајево,Техничке школе,Оба пола,1791
2021,Број,Кантон Сарајево,Техничке школе,Оба пола,1905
2022,Број,Кантон Сарајево,Техничке школе,Оба пола,1872
2016,Број,Кантон 10,Техничке школе,Оба пола,323
2017,Број,Кантон 10,Техничке школе,Оба пола,270
2018,Број,Кантон 10,Техничке школе,Оба пола,283
2019,Број,Кантон 10,Техничке школе,Оба пола,153
2020,Број,Кантон 10,Техничке школе,Оба пола,236
2021,Број,Кантон 10,Техничке школе,Оба пола,254
2022,Број,Кантон 10,Техничке школе,Оба пола,259
2016,Број,Федерација Босне и Херцеговине,Техничке школе,M,6130
2017,Број,Федерација Босне и Херцеговине,Техничке школе,M,4523
2018,Број,Федерација Босне и Херцеговине,Техничке школе,M,4997
2019,Број,Федерација Босне и Херцеговине,Техничке школе,M,5188
2020,Број,Федерација Босне и Херцеговине,Техничке школе,M,4862
2021,Број,Федерација Босне и Херцеговине,Техничке школе,M,4559
2022,Број,Федерација Босне и Херцеговине,Техничке школе,M,3759
2016,Број,Унско-сански кантон,Техничке школе,M,625
2017,Број,Унско-сански кантон,Техничке школе,M,403
2018,Број,Унско-сански кантон,Техничке школе,M,674
2019,Број,Унско-сански кантон,Техничке школе,M,498
2020,Број,Унско-сански кантон,Техничке школе,M,445
2021,Број,Унско-сански кантон,Техничке школе,M,439
2022,Број,Унско-сански кантон,Техничке школе,M,386
2016,Број,Посавски кантон,Техничке школе,M,110
2017,Број,Посавски кантон,Техничке школе,M,93
2018,Број,Посавски кантон,Техничке школе,M,112
2019,Број,Посавски кантон,Техничке школе,M,81
2020,Број,Посавски кантон,Техничке школе,M,86
2021,Број,Посавски кантон,Техничке школе,M,51
2022,Број,Посавски кантон,Техничке школе,M,76
2016,Број,Тузлански кантон,Техничке школе,M,1297
2017,Број,Тузлански кантон,Техничке школе,M,965
2018,Број,Тузлански кантон,Техничке школе,M,913
2019,Број,Тузлански кантон,Техничке школе,M,1111
2020,Број,Тузлански кантон,Техничке школе,M,957
2021,Број,Тузлански кантон,Техничке школе,M,908
2022,Број,Тузлански кантон,Техничке школе,M,859
2016,Број,Зеничко-добојски кантон,Техничке школе,M,982
2017,Број,Зеничко-добојски кантон,Техничке школе,M,702
2018,Број,Зеничко-добојски кантон,Техничке школе,M,789
2019,Број,Зеничко-добојски кантон,Техничке школе,M,845
2020,Број,Зеничко-добојски кантон,Техничке школе,M,833
2021,Број,Зеничко-добојски кантон,Техничке школе,M,735
2022,Број,Зеничко-добојски кантон,Техничке школе,M,587
2016,Број,Босанско-подрињски кантон,Техничке школе,M,121
2017,Број,Босанско-подрињски кантон,Техничке школе,M,47
2018,Број,Босанско-подрињски кантон,Техничке школе,M,73
2019,Број,Босанско-подрињски кантон,Техничке школе,M,107
2020,Број,Босанско-подрињски кантон,Техничке школе,M,64
2021,Број,Босанско-подрињски кантон,Техничке школе,M,64
2022,Број,Босанско-подрињски кантон,Техничке школе,M,67
2016,Број,Средњобосански кантон,Техничке школе,M,751
2017,Број,Средњобосански кантон,Техничке школе,M,641
2018,Број,Средњобосански кантон,Техничке школе,M,629
2019,Број,Средњобосански кантон,Техничке школе,M,704
2020,Број,Средњобосански кантон,Техничке школе,M,637
2021,Број,Средњобосански кантон,Техничке школе,M,588
2022,Број,Средњобосански кантон,Техничке школе,M,252
2016,Број,Херцеговачко-неретвански кантон,Техничке школе,M,693
2017,Број,Херцеговачко-неретвански кантон,Техничке школе,M,636
2018,Број,Херцеговачко-неретвански кантон,Техничке школе,M,445
2019,Број,Херцеговачко-неретвански кантон,Техничке школе,M,546
2020,Број,Херцеговачко-неретвански кантон,Техничке школе,M,534
2021,Број,Херцеговачко-неретвански кантон,Техничке школе,M,464
2022,Број,Херцеговачко-неретвански кантон,Техничке школе,M,330
2016,Број,Западнохерцеговчки кантон,Техничке школе,M,239
2017,Број,Западнохерцеговчки кантон,Техничке школе,M,263
2018,Број,Западнохерцеговчки кантон,Техничке школе,M,223
2019,Број,Западнохерцеговчки кантон,Техничке школе,M,231
2020,Број,Западнохерцеговчки кантон,Техничке школе,M,259
2021,Број,Западнохерцеговчки кантон,Техничке школе,M,244
2022,Број,Западнохерцеговчки кантон,Техничке школе,M,174
2016,Број,Кантон Сарајево,Техничке школе,M,1164
2017,Број,Кантон Сарајево,Техничке школе,M,634
2018,Број,Кантон Сарајево,Техничке школе,M,1020
2019,Број,Кантон Сарајево,Техничке школе,M,993
2020,Број,Кантон Сарајево,Техничке школе,M,928
2021,Број,Кантон Сарајево,Техничке школе,M,935
2022,Број,Кантон Сарајево,Техничке школе,M,885
2016,Број,Кантон 10,Техничке школе,M,148
2017,Број,Кантон 10,Техничке школе,M,139
2018,Број,Кантон 10,Техничке школе,M,119
2019,Број,Кантон 10,Техничке школе,M,72
2020,Број,Кантон 10,Техничке школе,M,119
2021,Број,Кантон 10,Техничке школе,M,131
2022,Број,Кантон 10,Техничке школе,M,143
2016,Број,Федерација Босне и Херцеговине,Техничке школе,Ж,5593
2017,Број,Федерација Босне и Херцеговине,Техничке школе,Ж,4421
2018,Број,Федерација Босне и Херцеговине,Техничке школе,Ж,5269
2019,Број,Федерација Босне и Херцеговине,Техничке школе,Ж,5363
2020,Број,Федерација Босне и Херцеговине,Техничке школе,Ж,4997
2021,Број,Федерација Босне и Херцеговине,Техничке школе,Ж,4744
2022,Број,Федерација Босне и Херцеговине,Техничке школе,Ж,4099
